matrix_taxon, vto, vto_label, ott_id
"Scoloplax dolicholophia",VTO_0059557,"Scoloplax dolicholophia",ott3624198
"Ancharius",VTO_0059559,"Ancharius",ott3624205
"Ancharius fuscus",VTO_0059561,"Ancharius fuscus",ott3624206
"Ancharius brevibarbis",VTO_0059564,"Gogo brevibarbis",ott3624203
"Megalonema xanthum",VTO_0059570,"Megalonema xanthum",ott3622040
"Megalonema psammium",VTO_0059571,"Megalonema psammium",ott3622038
"Megalonema sp.",VTO_0059572,"Megalonema sp. (de Pinna 1993)",ott?
"Duopalatinus emarginatus",VTO_0059601,"Duopalatinus emarginatus",ott3622034
"Hypophthalmus longifilis",VTO_0059602,"Hypophthalmus longifilis",ott?
"Hemisorubim sp.",VTO_0059606,"Hemisorubim sp. (de Pinna 1993)",ott?
"Propimelodus sp.",VTO_0059610,"Propimelodus sp. (Mo 1991)",ott?
"Cheirocerus goeldi",VTO_0059614,"Cheirocerus goeldii",ott3622014
"Encheloclarias tapeinopterus",VTO_0059617,"Encheloclarias tapeinopterus",ott3622398
"Horaglanis krishnai",VTO_0059624,"Horaglanis krishnai",ott3622395
"Xenoclarias holobranchus",VTO_0059627,"Xenoclarias eupogon",ott3622389
"Gymnallabes nops",VTO_0059629,"Gymnallabes nops",ott3622341
"Tanganikallabes sp.",VTO_0059633,"Tanganikallabes sp. (de Pinna 1993)",ott?
"Clariallabes melas",VTO_0059640,"Clariallabes melas",ott3622335
"Clarias sp.",VTO_0059670,"Clarias sp. (Fink and Fink 1981)",ott?
"Clarias vandenhoutei",VTO_0059680,"Clarias laeviceps",ott3622372
"Clarias sp.",VTO_0059685,"Clarias sp. (de Pinna 1993)",ott?
"Uegitglanis zammaranoi",VTO_0059696,"Uegitglanis zammaranoi",ott3622396
"Arius magatensis",VTO_0059700,"Plicofollis magatensis",ott3623391
"Arius paucus",VTO_0059703,"Sciades paucus",ott4949442
"Sciades emphysetus",VTO_0059704,"Sciades emphysetus",ott195728
"Bagrus (Sciades) emphysetus",VTO_0059704,"Sciades emphysetus",ott195728
"Sciades felis",VTO_0059705,"Sciades felis",ott139650
"Arius hardenbergi",VTO_0059710,"Aspistor hardenbergi",ott3623443
"Aspistor hardenbergi",VTO_0059710,"Aspistor hardenbergi",ott3623443
"Arius usumacintae",VTO_0059712,"Potamarius grandoculis",ott3623434
"Arius coatesi",VTO_0059713,"Neoarius coatesi",ott1043048
"Ariopsis coatesi",VTO_0059713,"Neoarius coatesi",ott1043048
"Arius robertsi",VTO_0059714,"Neoarius taylori",ott922467
"Ariopsis robertsi",VTO_0059714,"Neoarius taylori",ott922467
"Ariopsis latirostris",VTO_0059715,"Ariopsis latirostris",ott1043042
"Arius acrocephalus",VTO_0059715,"Ariopsis latirostris",ott1043042
"Ariopsis pectoralis",VTO_0059716,"Neoarius pectoralis",ott4138572
"Arius pectoralis",VTO_0059716,"Neoarius pectoralis",ott4138572
"Ariopsis velutinus",VTO_0059717,"Neoarius velutinus",ott1043055
"Hemipimelodus papillifer",VTO_0059717,"Neoarius velutinus",ott1043055
"Hemipimelodus velutinus",VTO_0059717,"Neoarius velutinus",ott1043055
"Arius acrocephalus",VTO_0059718,"Neoarius latirostris",ott1043042
"Arius latirostris",VTO_0059718,"Neoarius latirostris",ott1043042
"Arius macronotacanthus",VTO_0059719,"Nemapteryx macronotacantha",ott3623375
"Arius parvipinnis",VTO_0059719,"Nemapteryx macronotacantha",ott3623375
"Arius bleekeri",VTO_0059721,"Nemapteryx bleekeri",ott3623376
"Arius burmanicus",VTO_0059722,"Cochlefelis burmanicus",ott3623384
"Arius insidiator",VTO_0059723,"Cochlefelis insidiator",ott3623385
"Hemiarius insidiator",VTO_0059723,"Cochlefelis insidiator",ott3623385
"Triacanthodes anomalus",VTO_0042296,"Triacanthodes anomalus",ott891834
"Naso unicornis",VTO_0042322,"Naso unicornis",ott47509
"Siganus luridus",VTO_0042411,"Siganus luridus",ott448113
"Capros aper",VTO_0043184,"Capros aper",ott60121
"Antigonia capros",VTO_0043189,"Antigonia capros",ott917944
"Draconettidae",VTO_0043234,"Draconettidae",ott262234
"Icosteidae",VTO_0043238,"Icosteidae",ott408394
  ,VTO_0043238,"Icosteidae",ott408394
"Icosteus aenigmaticus",VTO_0043240,"Icosteus aenigmaticus",ott408396
"Echeneidae",VTO_0043242,"Echeneidae",ott776557
"Echeneis naucrates",VTO_0043244,"Echeneis naucrates",ott776562
"Apolectus niger (Rachycentron canadum)",VTO_0043257,"Rachycentron canadum",ott424305
"Rachycentron canadum",VTO_0043257,"Rachycentron canadum",ott424305
"Helostomatidae",VTO_0043438,"Helostomatidae",ott754863
"Champsocephalus esox",VTO_0043584,"Champsocephalus esox",ott665831
"Cryodraco atkinsoni",VTO_0043587,"Cryodraco atkinsoni",ott682054
"Gerlachea australis",VTO_0043609,"Gerlachea australis",ott792137
"Artedidraco orianae",VTO_0043657,"Artedidraco orianae",ott871232
"Eleginopidae",VTO_0043662,"Eleginopidae",ott350075
"Trichodontidae",VTO_0043798,"Trichodontidae",ott285785
"Arctoscopus japonicus",VTO_0043800,"Arctoscopus japonicus",ott883978
"Trichodon trichodon",VTO_0043802,"Trichodon trichodon",ott1009635
"Kurtidae",VTO_0043845,"Kurtidae",ott411977
"Bramidae",VTO_0043909,"Bramidae",ott679814
"Caristiidae",VTO_0044200,"Caristiidae",ott679812
"Pinguipedidae",VTO_0044209,"Pinguipedidae",ott685734
"Chiasmodontidae",VTO_0044244,"Chiasmodontidae",ott968261
"Ambassidae",VTO_0044724,"Ambassidae",ott970997
"Lepomis marginatus",VTO_0044957,"Lepomis marginatus",ott943380
"Arripidae",VTO_0045065,"Arripidae",ott137656
"Emmelichthyidae",VTO_0045075,"Emmelichthyidae",ott412920
"Niphon spinosus",VTO_0045612,"Niphon spinosus",ott114867
"Coryphaena equiselis",VTO_0046015,"Coryphaena equiselis",ott424327
"Enoplosidae",VTO_0046133,"Enoplosidae",ott54501
"Epigonidae",VTO_0046168,"Epigonidae",ott1005374
"Nematistius pectoralis",VTO_0046176,"Nematistius pectoralis",ott776560
"Nomeidae",VTO_0046588,"Nomeidae",ott984927
"Leptolepis jaegeri",VTO_0046621,"Pampus",ott137652
"Centrolophidae",VTO_0046638,"Centrolophidae",ott137651
"Odacidae",VTO_0046971,"Odacidae",ott724438
  ,VTO_0046971,"Odacidae",ott724438
"Siphonognathus argyrophanes",VTO_0046982,"Siphonognathus argyrophanes",ott252121
"Parachromis managuense",VTO_0047255,"Parachromis managuensis",ott797202
"Herichthys bartoni",VTO_0047276,"Herichthys bartoni",ott225744
"Herichthys steindachneri",VTO_0047277,"Herichthys steindachneri",ott246417
"Cichlasoma festae",VTO_0047372,"Cichlasoma festae",ott372859
"Cichlasoma salvini",VTO_0047377,"Cichlasoma salvini",ott1014287
"Cichlasoma trimaculatum",VTO_0047382,"Cichlasoma trimaculatum",ott799922
"Hypsophrys nicaraguensis",VTO_0047413,"Hypsophrys nicaraguensis",ott221911
"Tautoga",VTO_0049113,"Tautoga",ott787185
"Epibulus insidiator",VTO_0049116,"Epibulus insidiator",ott120301
"Pteragogus",VTO_0049118,"Pteragogus",ott730033
"Symphodus",VTO_0049147,"Symphodus",ott54419
"Oxycheilinus bimaculatus",VTO_0049165,"Oxycheilinus bimaculatus",ott352249
"Oxycheilinus unifasciatus",VTO_0049167,"Oxycheilinus unifasciatus",ott352271
"Oxycheilinus celebicus",VTO_0049168,"Oxycheilinus celebicus",ott352265
"Centrolabrus",VTO_0049182,"Centrolabrus",ott553201
"Cheilinus fasciatus",VTO_0049202,"Cheilinus fasciatus",ott155291
"Cheilinus oxycephalus",VTO_0049204,"Cheilinus oxycephalus",ott195575
"Cheilinus undulatus",VTO_0049205,"Cheilinus undulatus",ott195578
"Pseudocheilinus",VTO_0049220,"Pseudocheilinus",ott877074
"Wetmorella nigropinnata",VTO_0049265,"Wetmorella nigropinnata",ott724432
"Cirrhilabrus",VTO_0049460,"Cirrhilabrus",ott195610
"Odontobutidae",VTO_0049597,"Odontobutidae",ott1074017
"Trichiurus",VTO_0052452,"Trichiurus",ott143402
"Aptocyclus ventricosus",VTO_0052518,"Aptocyclus ventricosus",ott989887
"Liparidae",VTO_0052519,"Liparidae",ott577720
  ,VTO_0052519,"Liparidae",ott577720
"Liparis fabrici",VTO_0052544,"Liparis fabricii",ott496423
"Malacocottus zonurus",VTO_0052645,"Malacocottus zonurus",ott470754
"Hemitripteridae",VTO_0052730,"Hemitripteridae",ott651933
"Hexagrammos lagocephalus",VTO_0052933,"Hexagrammos lagocephalus",ott185870
"Anoplopoma fimbria",VTO_0052950,"Anoplopoma fimbria",ott441856
"Bembridae",VTO_0052996,"Bembridae",ott803360
"Peristediidae",VTO_0052999,"Peristediidae",ott803358
"Plectrogenidae",VTO_0053011,"Plectrogenidae",ott279758
"Sebastes owstoni",VTO_0053358,"Sebastes owstoni",ott767462
"Sebastes vulpes",VTO_0053365,"Sebastes vulpes",ott118707
"Tetrarogidae",VTO_0053427,"Tetrarogidae",ott555241
"Pataecidae",VTO_0053462,"Pataecidae",ott279760
"Scorpaena scrofa",VTO_0053530,"Scorpaena scrofa",ott802572
"Aploactinidae",VTO_0053561,"Aploactinidae",ott279762
"Gnathanacanthidae",VTO_0053568,"Gnathanacanthidae",ott279764
"Congiopodidae",VTO_0053571,"Congiopodidae",ott279766
  ,VTO_0053625,"Mastacembelus armatus",ott394575
  ,VTO_0053643,"Synbranchus marmoratus",ott989907
"Synbranchus marmoratus",VTO_0053643,"Synbranchus marmoratus",ott989907
"Pseudorinelepis genibarbis",VTO_0036846,"Pseudorinelepis genibarbis",ott452262
"Rhinelepis agassizi",VTO_0036846,"Pseudorinelepis genibarbis",ott452262
"Pseudorinelepis genibarbus",VTO_0036846,"Pseudorinelepis genibarbis",ott452262
"Monistiancistrus carachama",VTO_0036846,"Pseudorinelepis genibarbis",ott452262
"Hypostomus robinii",VTO_0036890,"Hypostomus robinii",ott452253
"Hypostomus hondae",VTO_0036893,"Hypostomus hondae",ott1028603
"Hypostomus plecostomoides",VTO_0036894,"Hypostomus plecostomoides",ott452258
"Pseudotothyris obtusa",VTO_0036924,"Pseudotothyris obtusa",ott277161
"Microlepidogaster leucofrenatus",VTO_0036930,"Hisonotus leucofrenatus",ott376404
"Microlepidogaster laevior",VTO_0036938,"Hisonotus laevior",ott1013630
"Microlepidogaster taimensis",VTO_0036947,"Hisonotus taimensis",ott78424
"Microlepidogaster nigricans",VTO_0036948,"Hisonotus nigricauda",ott549967
"Otocinclus nigricauda",VTO_0036948,"Hisonotus nigricauda",ott549967
"Hypoptopoma steindachneri",VTO_0036957,"Hypoptopoma steindachneri",ott122081
"Hypoptopoma gulare",VTO_0036960,"Hypoptopoma gulare",ott122079
"Pseudotocinclus tietensis",VTO_0036978,"Pseudotocinclus tietensis",ott952540
"Otocinclus vittatus",VTO_0036987,"Otocinclus vittatus",ott696176
"Otocinclus vestitus",VTO_0036992,"Otocinclus vestitus",ott783829
"Oxyropsis carinatum",VTO_0036999,"Oxyropsis carinata",ott536084
"Hypoptopoma carinatum",VTO_0036999,"Oxyropsis carinata",ott536084
"Schizolecis guentheri",VTO_0037002,"Schizolecis guntheri",ott950003
"Schizolecis guntheri",VTO_0037002,"Schizolecis guntheri",ott950003
"Acestridium discus",VTO_0037006,"Acestridium discus",ott925559
"Parotocinclus maculicauda",VTO_0037012,"Parotocinclus maculicauda",ott376395
"Otocinclus maculicauda",VTO_0037012,"Parotocinclus maculicauda",ott376395
"Microlepidogaster perforatus",VTO_0037045,"Microlepidogaster perforatus",ott949995
"Sturisomatichthys citrensis",VTO_0037056,"Sturisomatichthys citurensis",ott223148
"Sturisomatichthys citurensis",VTO_0037056,"Sturisomatichthys citurensis",ott223148
"Sturisoma fistivum",VTO_0037083,"Sturisoma festivum",ott649704
"Sturisoma festivum",VTO_0037083,"Sturisoma festivum",ott649704
"Rhineloricaria lanceolata",VTO_0037098,"Rineloricaria lanceolata",ott636429
"Limatulichthys punctatus",VTO_0037128,"Limatulichthys griseus",ott11359
"Ixinandria montelbelloi",VTO_0037146,"Ixinandria montebelloi",ott373895
"Crossoloricaria venezuelae",VTO_0037148,"Crossoloricaria venezuelae",ott23759
"Lithogenes villosus",VTO_0037151,"Lithogenes villosus",ott839753
"Isbrueckerichthys alipionis",VTO_0037156,"Isbrueckerichthys alipionis",ott549962
"Isbrueckerichthys duseni",VTO_0037157,"Isbrueckerichthys duseni",ott549964
"Pareiorhina rudolphi",VTO_0037162,"Pareiorhina rudolphi",ott1076718
"Kronichthys sp.",VTO_0037176,"Kronichthys",ott630662
"Kronichthys heylandi",VTO_0037178,"Kronichthys heylandi",ott650416
"Hemipsilichthys nudulus",VTO_0037185,"Pareiorhaphis nudulus",ott630679
"Hemipsilichthys splendens",VTO_0037199,"Pareiorhaphis splendens",ott630669
"Neoplecostomus microps",VTO_0037229,"Neoplecostomus microps",ott122084
"Chaetostoma anomala",VTO_0037251,"Chaetostoma anomalum",ott494908
"Chaetostomus anomalus",VTO_0037251,"Chaetostoma anomalum",ott494908
"Chaetostoma anomalus",VTO_0037251,"Chaetostoma anomalum",ott494908
"Panaque nigrolineatus",VTO_0037263,"Panaque nigrolineatus",ott248056
"Ancistrus cirrhosus",VTO_0037276,"Ancistrus cirrhosus",ott448077
"Ancistrus pirareta",VTO_0037279,"Ancistrus pirareta",ott439751
"Dekeyseria scaphirhyncha",VTO_0037290,"Dekeyseria scaphirhyncha",ott936001
"Pseudancistrus brevispinis",VTO_0037310,"Pseudancistrus brevispinis",ott377643
"Pseudacanthicus leopardus",VTO_0037329,"Pseudacanthicus leopardus",ott696185
"Parancistrus aurantiacus",VTO_0037354,"Parancistrus aurantiacus",ott712196
"Parancistrus auarantiacus",VTO_0037354,"Parancistrus aurantiacus",ott712196
"Hemiancistrus maracaiboensis",VTO_0037360,"Hemiancistrus maracaiboensis",ott420211
"Hemiancistrus panamensis",VTO_0037368,"Hemiancistrus aspidolepis",ott679867
"Hypophthalmidae",VTO_0037370,"Hypophthalmidae",ott87893
  ,VTO_0037378,"Gymnotiformes",ott216180
"Rhamphichthyidae",VTO_0037397,"Rhamphichthyidae",ott941375
"Hypopygus lepturus",VTO_0037399,"Hypopygus lepturus",ott738867
"Rhamphichthys reinhardti",VTO_0037410,"Rhamphichthys rostratus",ott748412
"Rhamphichthys rostratus",VTO_0037410,"Rhamphichthys rostratus",ott748412
"Steatogenys elegans",VTO_0037412,"Steatogenys elegans",ott164259
"Hypopomidae",VTO_0037413,"Hypopomidae",ott340597
"Hypopomus artedi",VTO_0037416,"Hypopomus artedi",ott748416
"Brachyhypopomus brevirostris",VTO_0037419,"Brachyhypopomus brevirostris",ott451152
"Brachyhypopomus diazi",VTO_0037420,"Brachyhypopomus diazi",ott440067
"Brachyhypopomus pinnicaudatus",VTO_0037424,"Brachyhypopomus pinnicaudatus",ott306915
"Microsternarchus bilineatus",VTO_0037426,"Microsternarchus bilineatus",ott164257
"Sternopygidae",VTO_0037427,"Sternopygidae",ott270440
"Sternopygus macrurus",VTO_0037430,"Sternopygus macrurus",ott729097
"Gymnotidae",VTO_0037432,"Gymnotidae",ott216181
"Gymnotus pedanopterus",VTO_0037434,"Gymnotus pedanopterus",ott463683
"Gymnotus stenoleucus",VTO_0037437,"Gymnotus stenoleucus",ott463666
"Gymnotus inaequilabeatus",VTO_0037440,"Gymnotus inaequilabiatus",ott483433
"Gymnotus inaequilabiatus",VTO_0037440,"Gymnotus inaequilabiatus",ott483433
"Gymnotus carapo",VTO_0037441,"Gymnotus carapo",ott445408
"Catostomidae",VTO_0041374,"Catostomidae",ott429113
"Scartomyzon congestus",VTO_0041399,"Moxostoma congestum",ott205579
"Myxocyprinus asiaticus",VTO_0041410,"Myxocyprinus asiaticus",ott141409
"Ictiobus niger",VTO_0041417,"Ictiobus niger",ott444697
"Ictiobus labiosus",VTO_0041419,"Ictiobus labiosus",ott584460
"Ictiobus bubalus",VTO_0041420,"Ictiobus bubalus",ott955109
"Ictiobus meridionalis",VTO_0041422,"Ictiobus meridionalis",ott584458
"Hypentelium nigricans",VTO_0041434,"Hypentelium nigricans",ott584073
"Hypenthelium nigricans",VTO_0041434,"Hypentelium nigricans",ott584073
"Catostomus leopoldi",VTO_0041441,"Catostomus leopoldi",ott278707
"Catostomus wigginsi",VTO_0041443,"Catostomus wigginsi",ott278713
"Catostomus santaanae",VTO_0041444,"Catostomus santaanae",ott1095324
"Catostomus fumeiventris",VTO_0041445,"Catostomus fumeiventris",ott1095311
"Catostomus insignis",VTO_0041446,"Catostomus insignis",ott1095309
"Catostomus catostomus",VTO_0041447,"Catostomus catostomus",ott341229
"Catostomus macrocheilus",VTO_0041448,"Catostomus macrocheilus",ott341233
"Catostomus bernardini",VTO_0041449,"Catostomus bernardini",ott278703
"Catostomus discobolus",VTO_0041453,"Catostomus discobolus",ott271226
"Catostomus commersoni",VTO_0041458,"Catostomus commersonii",ott955101
"Pantosteus clarki",VTO_0041460,"Catostomus clarkii",ott955105
"Catostomus clarki",VTO_0041460,"Catostomus clarkii",ott955105
"Catostomus latipinnis",VTO_0041461,"Catostomus latipinnis",ott330982
"Catostomus plebeius",VTO_0041466,"Catostomus plebeius",ott518658
"Catostomus ardens",VTO_0041467,"Catostomus ardens",ott796794
"Carpiodes velifer",VTO_0041470,"Carpiodes velifer",ott101385
"Euteleosteomorpha",VTO_0041706,"Euteleostei",ott?
"Polymixiidae",VTO_0041715,"Polymixiidae",ott617749
"Polymixia",VTO_0041716,"Polymixia",ott617742
  ,VTO_0041730,"Stephanoberyciformes",ott587933
"Stephanoberycidae",VTO_0041744,"Stephanoberycidae",ott944688
"Melamphaidae",VTO_0041747,"Melamphaidae",ott190715
"Melamphaes",VTO_0041750,"Melamphaes",ott273430
"Melamphaes suborbitalis",VTO_0041751,"Melamphaes suborbitalis",ott297164
"Scopeloberyx robustus",VTO_0041762,"Scopeloberyx robustus",ott707552
"Megalomycteridae",VTO_0041769,"Megalomycteridae",ott118790
  ,VTO_0041769,"Megalomycteridae",ott118790
"Ataxolepis apus",VTO_0041771,"Ataxolepis apus",ott383170
"Barbourisiidae",VTO_0041772,"Barbourisiidae",ott587934
"Rondeletiidae",VTO_0041775,"Rondeletiidae",ott190706
"Cetomimidae",VTO_0041788,"Cetomimidae",ott118790
  ,VTO_0041788,"Cetomimidae",ott118790
"Percomorphacea",VTO_0041824,"Percomorpha",ott5551466
"Dactylopteridae",VTO_0041827,"Dactylopteridae",ott183859
"Dactylopterus volitans",VTO_0041829,"Dactylopterus volitans",ott183857
  ,VTO_0041834,"Tetraodontiformes",ott36216
"Molidae",VTO_0041836,"Molidae",ott36202
  ,VTO_0041836,"Molidae",ott36202
"Mola mola",VTO_0041841,"Mola mola",ott457786
"Triodontidae",VTO_0041846,"Triodontidae",ott95339
  ,VTO_0041846,"Triodontidae",ott95339
"Triodon macropterus",VTO_0041848,"Triodon macropterus",ott95335
"Tetraodontidae",VTO_0041850,"Tetraodontidae",ott65336
"Tetradontidae",VTO_0041850,"Tetraodontidae",ott65336
  ,VTO_0041850,"Tetraodontidae",ott65336
"Canthigaster rostrata",VTO_0041873,"Canthigaster rostrata",ott484093
"Sphoeroides maculatus",VTO_0041907,"Sphoeroides maculatus",ott383859
"Tetraodon mbu",VTO_0041919,"Tetraodon mbu",ott254734
"Diodontidae",VTO_0041983,"Diodontidae",ott557117
  ,VTO_0041983,"Diodontidae",ott557117
"Monacanthus ciliatus",VTO_0042036,"Monacanthus ciliatus",ott959216
"Stephanolepis hispidus",VTO_0042056,"Stephanolepis hispidus",ott662022
"Balistidae",VTO_0042075,"Balistidae",ott36225
"Panaque purusiensis",VTO_0060071,"Panaqolus purusiensis",ott3623075
"Panaque albomaculatus",VTO_0060073,"Panaqolus albomaculatus",ott3623047
"Panaque maccus",VTO_0060074,"Panaqolus maccus",ott1087463
"Megalancistrus sp.",VTO_0060076,"Megalancistrus sp. (Schaefer 1987)",ott?
"Peckoltia niveata",VTO_0060080,"Dekeyseria niveata",ott73910
"Pseudancistrus sp.",VTO_0060084,"Pseudancistrus sp. (Armbruster 2004)",ott?
"Pseudancistrus sp. gold spot (Armbruster 2004)",VTO_0060090,"Pseudancistrus sp. gold spot (Armbruster 2004)",ott?
"Harttia sp.",VTO_0060095,"Harttia sp. (Armbruster 2004)",ott?
"Lipopterichthys sp.",VTO_0060105,"Lipopterichthys sp. (Britto 2003)",ott?
"Lipopterichthys carrioni",VTO_0060106,"Lipopterichthys carrioni",ott3622521
"Loricariinae sp.",VTO_0060107,"Loricariinae sp. (Friel 1994)",ott?
"Dolichancistrus cobrensis",VTO_0060110,"Dolichancistrus cobrensis",ott3623053
"Dolichancistrus pediculatus",VTO_0060111,"Dolichancistrus pediculatus",ott3623008
"Dolichancistrus atratoensis",VTO_0060114,"Dolichancistrus atratoensis",ott3623079
"Otothyris lophophanes",VTO_0060116,"Otothyris lophophanes",ott3622971
"Otothyris cephalacanthus",VTO_0060116,"Otothyris lophophanes",ott3622971
"Otothyris sp.",VTO_0060117,"Otothyris sp. (Britto 2003)",ott?
"Otothyris sp.",VTO_0060118,"Otothyris sp. (Schaefer 1991)",ott?
"Pareiorhina sp.",VTO_0060121,"Pareiorhina sp. (Britto 2003)",ott?
"Pareiorhina sp.",VTO_0060122,"Pareiorhina sp. (Armbruster 2004)",ott?
"Panaque sp.",VTO_0060125,"Panaque sp. (de Pinna 1993)",ott?
"Panaque sp.",VTO_0060126,"Panaque sp. (Friel 1994)",ott?
"Pseudolithoxus anthrax",VTO_0060128,"Pseudolithoxus anthrax",ott3622499
"Baryancistrus niveatus",VTO_0060132,"Baryancistrus niveatus",ott3623076
"Sturisoma sp.",VTO_0060135,"Sturisoma sp. (Friel 1994)",ott?
"Sturisoma sp.",VTO_0060139,"Sturisoma sp. (Schaefer 1987)",ott?
"Sturisoma lyra",VTO_0060146,"Sturisoma lyra",ott3622660
"Hemipsilichthys cameroni",VTO_0060147,"Pareiorhaphis cameroni",ott108989
"Schizolecis sp.",VTO_0060152,"Schizolecis sp. (Britto 2003)",ott?
"Leptoancistrus canensis",VTO_0060155,"Leptoancistrus canensis",ott3623002
"Hypostomus emarginatus 2",VTO_0060157,"Hypostomus emarginatus 2 (Armbruster 2004)",ott?
"Hypostomus hemicochliodon",VTO_0060159,"Hypostomus hemicochliodon",ott3622916
"Hypostomus sp.",VTO_0060166,"Hypostomus sp. (Schaefer 1987)",ott?
"Hypostomus sp.",VTO_0060186,"Hypostomus sp. (de Pinna 1993)",ott?
"Hypostomus sp.",VTO_0060191,"Hypostomus sp. (Britto 2003)",ott?
"Hypostomus sp. round snout 2",VTO_0060202,"Hypostomus sp. round snout 2 (Armbruster 2004)",ott?
"Hypostomus sp. round snout 1",VTO_0060203,"Hypostomus sp. round snout 1 (Armbruster 2004)",ott?
"Hypostomus francisci",VTO_0060211,"Hypostomus francisci",ott3622878
"Hypostomus plecostomus 2",VTO_0060216,"Hypostomus plecostomus 2 (Armbruster 2004)",ott?
"Hypostomus micromaculatus",VTO_0060226,"Hypostomus micromaculatus",ott3622874
"Hypostomus cordovae",VTO_0060227,"Hypostomus cordovae",ott410068
"Hypostomus bolivianus",VTO_0060229,"Hypostomus bolivianus",ott3622861
"Hypostomus emarginatus 1",VTO_0060252,"Hypostomus emarginatus 1 (Armbruster 2004)",ott?
"Hypostomus unicolor",VTO_0060261,"Aphanotorulus unicolor",ott3622820
"Peckoltia big spot",VTO_0060266,"Peckoltia sp. big spot (Armbruster 2004)",ott?
"Peckoltia sp.2",VTO_0060269,"Peckoltia sp. 2 (Armbruster 2004)",ott?
"Peckoltia sp.1",VTO_0060270,"Peckoltia sp. 1 (Armbruster 2004)",ott?
"Peckoltia ucayalensis",VTO_0060276,"Peckoltia ucayalensis",ott3622621
"Corymbophanes andersoni",VTO_0060279,"Corymbophanes andersoni",ott3622829
"New genus",VTO_0060293,"New genus (Schaefer 1991)",ott?
"Pogonopomoides prahybae",VTO_0060296,"Pogonopoma parahybae",ott3623072
"Pogonopoma parahybae",VTO_0060296,"Pogonopoma parahybae",ott3623072
"Pogonopomoides parahybae",VTO_0060296,"Pogonopoma parahybae",ott3623072
"Pogonopoma wertheimeri",VTO_0060297,"Pogonopoma wertheimeri",ott3623012
"Otocinclus affinis",VTO_0060300,"Macrotocinclus affinis",ott122089
"Hypoptopoma sp.",VTO_0060301,"Hypoptopoma sp. (Schaefer 1987)",ott?
"Hypoptopoma sp.",VTO_0060302,"Hypoptopoma sp. (Britto 2003)",ott?
"Hypoptopoma sp.",VTO_0060303,"Hypoptopoma sp. (Schaefer 1991)",ott?
"Hypoptopoma joberti",VTO_0060305,"Hypoptopoma joberti",ott122079
"Hypoptopoma thoracatum",VTO_0060306,"Hypoptopoma thoracatum",ott466530
"Hypoptopoma sp.",VTO_0060307,"Hypoptopoma sp. (Armbruster 2004)",ott?
"Spectracanthicus punctatissimus",VTO_0060309,"Oligancistrus punctatissimus",ott3623017
"Lasiancistrus sp.",VTO_0060311,"Lasiancistrus sp. (Armbruster 2004)",ott?
"Lasiancistrus maracaiboensis",VTO_0060312,"Lasiancistrus guacharote",ott3622506
"Lasiancistrus mayoloi",VTO_0060314,"Lasiancistrus caucanus",ott242538
"Lasiancistrus caucanus",VTO_0060314,"Lasiancistrus caucanus",ott242538
"Neoplecostomus sp.",VTO_0060319,"Neoplecostomus sp. (de Pinna 1993)",ott?
"Neoplecostomus sp.",VTO_0060322,"Neoplecostomus sp. (Schaefer 1991)",ott?
"Neoplecostomus sp.",VTO_0060324,"Neoplecostomus sp. (Britto 2003)",ott?
"Spectracanthicus murinus",VTO_0060335,"Spectracanthicus murinus",ott3623085
"Farlowella sp.",VTO_0060339,"Farlowella sp. (de Pinna 1993)",ott?
"Farlowella sp.",VTO_0060345,"Farlowella sp. (Britto 2003)",ott?
"Farlowella knerii",VTO_0060347,"Farlowella knerii",ott3622686
"Farlowella sp.",VTO_0060356,"Farlowella sp. (Schaefer 1987)",ott?
"Otocinclus mariae",VTO_0060364,"Otocinclus mariae",ott3622946
"Otocinclus sp.",VTO_0060369,"Otocinclus sp. (Schaefer 1987)",ott?
"Neblinichthys roraima",VTO_0060388,"Neblinichthys roraima",ott3623021
"Neblinichthys pilosus",VTO_0060389,"Neblinichthys pilosus",ott3623051
"Reganella sp.",VTO_0060391,"Reganella sp. (Britto 2003)",ott?
"Microlepidogaster sp.",VTO_0060393,"Microlepidogaster sp. (Britto 2003)",ott?
"Microlepidogaster sp.",VTO_0060394,"Microlepidogaster sp. (Schaefer 1991)",ott?
"Microlepidogaster sp.",VTO_0060395,"Microlepidogaster sp. (Armbruster 2004)",ott?
"Crossoloricaria sp.",VTO_0060400,"Crossoloricaria sp. (Armbruster 2004)",ott?
"Limatulichthys sp.",VTO_0060407,"Limatulichthys sp. (Britto 2003)",ott?
"Plecostomus sp.",VTO_0060413,"Loricariidae sp. (Mo 1991)",ott?
"Pterygoplichthys lituratus",VTO_0060415,"Pterygoplichthys lituratus",ott3622826
"Pterygoplichthys punctatus",VTO_0060416,"Pterygoplichthys punctatus",ott3622821
"Liposarcus sp.",VTO_0060417,"Liposarcus sp. (Friel 1994)",ott?
"Pterygoplichthys sp.",VTO_0060422,"Pterygoplichthys sp. (Schaefer 1987)",ott?
"Pterygoplichthys sp.",VTO_0060423,"Pterygoplichthys sp. (Vigliotta 2008)",ott?
"Pterygoplichthys sp.",VTO_0060425,"Pterygoplichthys sp. (de Pinna 1993)",ott?
"Euristhmus lepturus",VTO_0060442,"Euristhmus lepturus",ott3622071
"Cnidoglanis sp.",VTO_0060447,"Cnidoglanis sp. (Mo 1991)",ott?
"Lampridae",VTO_0057241,"Lampridae",ott888446
