"matrix_taxon","vto","vto_label"
"Centroscyllium","http://purl.obolibrary.org/obo/VTO_0000659","Centroscyllium"
"Squatina californica","http://purl.obolibrary.org/obo/VTO_0000715","Squatina californica"
"Heptranchias","http://purl.obolibrary.org/obo/VTO_0000756","Heptranchias"
"Heptranchias perlo","http://purl.obolibrary.org/obo/VTO_0000757","Heptranchias perlo"
"Mystus guttatus","http://purl.obolibrary.org/obo/VTO_0035079","Hemibagrus guttatus"
"Mystus nemurus","http://purl.obolibrary.org/obo/VTO_0035081","Hemibagrus nemurus"
"Mystus johorensis","http://purl.obolibrary.org/obo/VTO_0035081","Hemibagrus nemurus"
"Mystus pahangensis","http://purl.obolibrary.org/obo/VTO_0035081","Hemibagrus nemurus"
"Pseudobagrus taeniatus","http://purl.obolibrary.org/obo/VTO_0035101","Pseudobagrus taeniatus"
"Pseudobagrus truncatus","http://purl.obolibrary.org/obo/VTO_0035103","Pseudobagrus truncatus"
"Aorichthys seenghala","http://purl.obolibrary.org/obo/VTO_0035136","Sperata seenghala"
"Mystus malabaricus","http://purl.obolibrary.org/obo/VTO_0035144","Mystus malabaricus"
"Mystus cavasius","http://purl.obolibrary.org/obo/VTO_0035145","Mystus cavasius"
"Callichthys callichthys","http://purl.obolibrary.org/obo/VTO_0035201","Callichthys callichthys"
"Aspidoras fuscoguttatus","http://purl.obolibrary.org/obo/VTO_0035205","Aspidoras fuscoguttatus"
"Aspidoras poecilus","http://purl.obolibrary.org/obo/VTO_0035206","Aspidoras poecilus"
"Corydoras flaveolus","http://purl.obolibrary.org/obo/VTO_0035381","Corydoras flaveolus"
"Corydoras paleatus","http://purl.obolibrary.org/obo/VTO_0035382","Corydoras paleatus"
"Corydoras triseriatus","http://purl.obolibrary.org/obo/VTO_0035383","Corydoras nattereri"
"Corydoras nattereri","http://purl.obolibrary.org/obo/VTO_0035383","Corydoras nattereri"
"Corydoras ehrhardti","http://purl.obolibrary.org/obo/VTO_0035384","Corydoras ehrhardti"
"Corydoras aeneus","http://purl.obolibrary.org/obo/VTO_0035385","Corydoras aeneus"
"Corydoras metae","http://purl.obolibrary.org/obo/VTO_0035386","Corydoras metae"
"Corydoras sodalis","http://purl.obolibrary.org/obo/VTO_0035388","Corydoras sodalis"
"Corydoras difluviatilis","http://purl.obolibrary.org/obo/VTO_0035389","Corydoras difluviatilis"
"Corydoras rabauti","http://purl.obolibrary.org/obo/VTO_0035423","Corydoras rabauti"
"Scleromystax macropterus","http://purl.obolibrary.org/obo/VTO_0035438","Scleromystax macropterus"
"Scleromystax barbatus II","http://purl.obolibrary.org/obo/VTO_0035441","Scleromystax barbatus"
"Scleromystax barbatus I","http://purl.obolibrary.org/obo/VTO_0035441","Scleromystax barbatus"
"Corydoras barbatus","http://purl.obolibrary.org/obo/VTO_0035441","Scleromystax barbatus"
"Brochis splendens","http://purl.obolibrary.org/obo/VTO_0035452","Brochis splendens"
"Corydoras splendens","http://purl.obolibrary.org/obo/VTO_0035452","Brochis splendens"
"Megalechis thoracata","http://purl.obolibrary.org/obo/VTO_0035454","Megalechis thoracata"
"Megalechis personata","http://purl.obolibrary.org/obo/VTO_0035454","Megalechis thoracata"
"Clarias melasoma","http://purl.obolibrary.org/obo/VTO_0035520","Clarias meladerma"
"Clarias meladerma","http://purl.obolibrary.org/obo/VTO_0035520","Clarias meladerma"
"Clarias ngamensis","http://purl.obolibrary.org/obo/VTO_0035530","Clarias ngamensis"
"Clarias gariepinus","http://purl.obolibrary.org/obo/VTO_0035533","Clarias gariepinus"
"Cranoglanis bouderius","http://purl.obolibrary.org/obo/VTO_0035547","Cranoglanis bouderius"
