"matrix_taxon","vto","vto_label"
"Coccorella atlantica","http://purl.obolibrary.org/obo/VTO_0057494","Coccorella atlantica"
"Evermannella indica","http://purl.obolibrary.org/obo/VTO_0057498","Evermannella indica"
"Paralepididae","http://purl.obolibrary.org/obo/VTO_0057499","Paralepididae"
"Lestidium atlanticum","http://purl.obolibrary.org/obo/VTO_0057510","Lestidium atlanticum"
"Scopelarchidae","http://purl.obolibrary.org/obo/VTO_0057525","Scopelarchidae"
"Anotopterus pharao","http://purl.obolibrary.org/obo/VTO_0057538","Anotopterus pharao"
"Pseudotrichonotidae","http://purl.obolibrary.org/obo/VTO_0057555","Pseudotrichonotidae"
"Pseudotrichonotus altivelis","http://purl.obolibrary.org/obo/VTO_0057557","Pseudotrichonotus altivelis"
"Trachinocephalus myops","http://purl.obolibrary.org/obo/VTO_0057582","Trachinocephalus myops"
"Saurida undosquamous","http://purl.obolibrary.org/obo/VTO_0057595","Saurida undosquamis"
"Bathysauridae","http://purl.obolibrary.org/obo/VTO_0057681","Bathysauridae"
"Bathysaurus ferox","http://purl.obolibrary.org/obo/VTO_0057683","Bathysaurus ferox"
"Giganturidae","http://purl.obolibrary.org/obo/VTO_0057685","Giganturidae"
  , "http://purl.obolibrary.org/obo/VTO_0057685","Giganturidae"
"Gigantura indica","http://purl.obolibrary.org/obo/VTO_0057687","Gigantura indica"
"Gigantura chuni","http://purl.obolibrary.org/obo/VTO_0057688","Gigantura chuni"
"Chlorophthalmus agassizi","http://purl.obolibrary.org/obo/VTO_0057696","Chlorophthalmus agassizi"
"Notosudidae","http://purl.obolibrary.org/obo/VTO_0057705","Notosudidae"
"Ipnopidae","http://purl.obolibrary.org/obo/VTO_0057715","Ipnopidae"
"Ateleopodidae","http://purl.obolibrary.org/obo/VTO_0057728","Ateleopodidae"
"Stomiidae","http://purl.obolibrary.org/obo/VTO_0057869","Stomiidae"
"Phosichthyidae","http://purl.obolibrary.org/obo/VTO_0057957","Phosichthyidae"
"Esox americanus","http://purl.obolibrary.org/obo/VTO_0058016","Esox americanus"
"Esox americanus vermiculatus","http://purl.obolibrary.org/obo/VTO_0058016","Esox americanus"
"Esox americanus americanus","http://purl.obolibrary.org/obo/VTO_0058016","Esox americanus"
"Esox niger","http://purl.obolibrary.org/obo/VTO_0058017","Esox niger"
"Esox masquinongy","http://purl.obolibrary.org/obo/VTO_0058020","Esox masquinongy"
"Microstomatidae","http://purl.obolibrary.org/obo/VTO_0058258","Microstomatidae"
"Argentinidae","http://purl.obolibrary.org/obo/VTO_0058289","Argentinidae"
"Opisthoproctidae","http://purl.obolibrary.org/obo/VTO_0058298","Opisthoproctidae"
"Alepocephalidae","http://purl.obolibrary.org/obo/VTO_0058330","Alepocephalidae"
"Platytroctidae","http://purl.obolibrary.org/obo/VTO_0058379","Platytroctidae"
"Platytroctes apus","http://purl.obolibrary.org/obo/VTO_0058396","Platytroctes apus"
"Galaxiidae","http://purl.obolibrary.org/obo/VTO_0058465","Galaxiidae"
"Retropinnidae","http://purl.obolibrary.org/obo/VTO_0058538","Retropinnidae"
"Hyperoartia","http://purl.obolibrary.org/obo/VTO_0058621","Hyperoartia"
"Lamprey","http://purl.obolibrary.org/obo/VTO_0058646","Lampetra"
"Hyperotreti","http://purl.obolibrary.org/obo/VTO_0058700","Hyperotreti"
"Netuma mazatlana","http://purl.obolibrary.org/obo/VTO_0059707","Sciades platypogon"
"Corydoras britskii","http://purl.obolibrary.org/obo/VTO_0061348","Brochis britskii"
"Brochis britskii","http://purl.obolibrary.org/obo/VTO_0061348","Brochis britskii"
"Vieja fenestrata","http://purl.obolibrary.org/obo/VTO_0073398","Vieja fenestrata"
"Centropomus unidecimalis","http://purl.obolibrary.org/obo/VTO_0045040","Centropomus undecimalis"
"Glaucosomatidae","http://purl.obolibrary.org/obo/VTO_0045059","Glaucosomatidae"
"Howellidae","http://purl.obolibrary.org/obo/VTO_0045070","Howellidae"
"Polynemidae","http://purl.obolibrary.org/obo/VTO_0045087","Polynemidae"
"Bathymasteridae","http://purl.obolibrary.org/obo/VTO_0045107","Bathymasteridae"
"Bathymaster signatus","http://purl.obolibrary.org/obo/VTO_0045113","Bathymaster signatus"
"Apogonidae","http://purl.obolibrary.org/obo/VTO_0045117","Apogonidae"
"Dichistiidae","http://purl.obolibrary.org/obo/VTO_0045274","Dichistiidae"
"Drepaneidae","http://purl.obolibrary.org/obo/VTO_0045278","Drepaneidae"
"Dinolestidae","http://purl.obolibrary.org/obo/VTO_0045283","Dinolestidae"
"Grammatidae","http://purl.obolibrary.org/obo/VTO_0045292","Grammatidae"
"Latidae","http://purl.obolibrary.org/obo/VTO_0045299","Latidae"
"Psammoperca waigiensis","http://purl.obolibrary.org/obo/VTO_0045307","Psammoperca waigiensis"
"Toxotidae","http://purl.obolibrary.org/obo/VTO_0045308","Toxotidae"
"Terapontidae","http://purl.obolibrary.org/obo/VTO_0045314","Terapontidae"
"Sillaginidae","http://purl.obolibrary.org/obo/VTO_0045365","Sillaginidae"
"Serranidae","http://purl.obolibrary.org/obo/VTO_0045386","Serranidae"
"Sciaenidae","http://purl.obolibrary.org/obo/VTO_0045733","Sciaenidae"
"Caesionidae","http://purl.obolibrary.org/obo/VTO_0045938","Caesionidae"
"Pseudochromidae","http://purl.obolibrary.org/obo/VTO_0045957","Pseudochromidae"
  , "http://purl.obolibrary.org/obo/VTO_0045957","Pseudochromidae"
"Cypho","http://purl.obolibrary.org/obo/VTO_0045959","Cypho"
"Labracinus","http://purl.obolibrary.org/obo/VTO_0045963","Labracinus"
"Pseudochromis","http://purl.obolibrary.org/obo/VTO_0045966","Pseudochromis"
"Ogilbyina","http://purl.obolibrary.org/obo/VTO_0045978","Ogilbyina"
"Priacanthidae","http://purl.obolibrary.org/obo/VTO_0045996","Priacanthidae"
"Coryphaenidae","http://purl.obolibrary.org/obo/VTO_0046011","Coryphaenidae"
"Coryphaena hippurus","http://purl.obolibrary.org/obo/VTO_0046014","Coryphaena hippurus"
"Pomatomidae","http://purl.obolibrary.org/obo/VTO_0046016","Pomatomidae"
"Pomacanthidae","http://purl.obolibrary.org/obo/VTO_0046020","Pomacanthidae"
"Perciliidae","http://purl.obolibrary.org/obo/VTO_0046092","Perciliidae"
"Pentacerotidae","http://purl.obolibrary.org/obo/VTO_0046096","Pentacerotidae"
"Dinopercidae","http://purl.obolibrary.org/obo/VTO_0046116","Dinopercidae"
"Dinoperca","http://purl.obolibrary.org/obo/VTO_0046119","Dinoperca"
"Plesiopidae","http://purl.obolibrary.org/obo/VTO_0046121","Plesiopidae"
"Oplegnathidae","http://purl.obolibrary.org/obo/VTO_0046136","Oplegnathidae"
"Opistognathidae","http://purl.obolibrary.org/obo/VTO_0046145","Opistognathidae"
"Nematistiidae","http://purl.obolibrary.org/obo/VTO_0046174","Nematistiidae"
"Nemipteridae","http://purl.obolibrary.org/obo/VTO_0046177","Nemipteridae"
"Datnioididae","http://purl.obolibrary.org/obo/VTO_0046209","Datnioididae"
"Mullidae","http://purl.obolibrary.org/obo/VTO_0046212","Mullidae"
"Nandidae","http://purl.obolibrary.org/obo/VTO_0046262","Nandidae"
"Menidae","http://purl.obolibrary.org/obo/VTO_0046287","Menidae"
"Ostracoberycidae","http://purl.obolibrary.org/obo/VTO_0046290","Ostracoberycidae"
"Monodactylidae","http://purl.obolibrary.org/obo/VTO_0046293","Monodactylidae"
  , "http://purl.obolibrary.org/obo/VTO_0046293","Monodactylidae"
"Monodactylus (Monodactylidae)","http://purl.obolibrary.org/obo/VTO_0046294","Monodactylus"
"Lutjanidae","http://purl.obolibrary.org/obo/VTO_0046300","Lutjanidae"
"Malacanthidae","http://purl.obolibrary.org/obo/VTO_0046422","Malacanthidae"
"Aplodactylidae","http://purl.obolibrary.org/obo/VTO_0046452","Aplodactylidae"
"Cheilodactylidae","http://purl.obolibrary.org/obo/VTO_0046460","Cheilodactylidae"
"Chironemidae","http://purl.obolibrary.org/obo/VTO_0046494","Chironemidae"
"Cirrhitidae","http://purl.obolibrary.org/obo/VTO_0046503","Cirrhitidae"
"Latridae","http://purl.obolibrary.org/obo/VTO_0046532","Latridae"
"Lethrinidae","http://purl.obolibrary.org/obo/VTO_0046540","Lethrinidae"
"Lobotidae","http://purl.obolibrary.org/obo/VTO_0046583","Lobotidae"
"Tetragonuridae","http://purl.obolibrary.org/obo/VTO_0046605","Tetragonuridae"
"Stromateidae","http://purl.obolibrary.org/obo/VTO_0046609","Stromateidae"
  , "http://purl.obolibrary.org/obo/VTO_0046609","Stromateidae"
"Ariommatidae","http://purl.obolibrary.org/obo/VTO_0046629","Ariommatidae"
"Embiotocidae","http://purl.obolibrary.org/obo/VTO_0046668","Embiotocidae"
"Pomacentridae","http://purl.obolibrary.org/obo/VTO_0046704","Pomacentridae"
"Cichlidae","http://purl.obolibrary.org/obo/VTO_0046983","Cichlidae"
"Crenicichla saxatillis","http://purl.obolibrary.org/obo/VTO_0047055","Crenicichla saxatilis"
"Cichla ocellaris","http://purl.obolibrary.org/obo/VTO_0047086","Cichla ocellaris"
"Amphilophus robertsoni","http://purl.obolibrary.org/obo/VTO_0047167","Amphilophus robertsoni"
"Amphilophus macracanthus","http://purl.obolibrary.org/obo/VTO_0047180","Amphilophus macracanthus"
"Amphilophus hogaboomorus","http://purl.obolibrary.org/obo/VTO_0047182","Amphilophus hogaboomorum"
"Tomocichla tuba","http://purl.obolibrary.org/obo/VTO_0047200","Tomocichla tuba"
"Tomocichla sieboldi","http://purl.obolibrary.org/obo/VTO_0047201","Tomocichla sieboldii"
"Parachromis loisellei","http://purl.obolibrary.org/obo/VTO_0047256","Parachromis loisellei"
"Parachromis dovii","http://purl.obolibrary.org/obo/VTO_0047257","Parachromis dovii"
"Parachromis friedrichsthali","http://purl.obolibrary.org/obo/VTO_0047258","Parachromis friedrichsthalii"
"Parachromis motaguense","http://purl.obolibrary.org/obo/VTO_0047259","Parachromis motaguensis"
"Petenia splendida","http://purl.obolibrary.org/obo/VTO_0047261","Petenia splendida"
"Nandopsis tetracanthus","http://purl.obolibrary.org/obo/VTO_0047263","Nandopsis tetracanthus"
"Nandopsis haitiensis","http://purl.obolibrary.org/obo/VTO_0047264","Nandopsis haitiensis"
"Herichthys cyanoguttatus","http://purl.obolibrary.org/obo/VTO_0047269","Herichthys cyanoguttatus"
"Archocentrus spilurus","http://purl.obolibrary.org/obo/VTO_0047282","Cryptoheros spilurus"
"Archocentrus septemfasciatus","http://purl.obolibrary.org/obo/VTO_0047287","Cryptoheros septemfasciatus"
"Thorichthys meeki","http://purl.obolibrary.org/obo/VTO_0047299","Thorichthys meeki"
"Thorichthys pasionis","http://purl.obolibrary.org/obo/VTO_0047303","Thorichthys pasionis"
"Cichlasoma octofasciatum","http://purl.obolibrary.org/obo/VTO_0047321","Rocio octofasciata"
"Archocentrus nigrofasciatus","http://purl.obolibrary.org/obo/VTO_0047323","Amatitlania nigrofasciata"
"Cichlasoma beani","http://purl.obolibrary.org/obo/VTO_0047369","Cichlasoma beani"
"Cichlasoma atromaculatum","http://purl.obolibrary.org/obo/VTO_0047376","Cichlasoma atromaculatum"
"Cichlasoma grammodes","http://purl.obolibrary.org/obo/VTO_0047380","Cichlasoma grammodes"
"Cichlasoma istlanum","http://purl.obolibrary.org/obo/VTO_0047383","Cichlasoma istlanum"
"Labridae","http://purl.obolibrary.org/obo/VTO_0049110","Labridae"
"Paracheilinus","http://purl.obolibrary.org/obo/VTO_0049126","Paracheilinus"
"Tautogolabrus","http://purl.obolibrary.org/obo/VTO_0049158","Tautogolabrus"
"Cheilinus chlorourus","http://purl.obolibrary.org/obo/VTO_0049203","Cheilinus chlorourus"
"Cheilinus trilobatus","http://purl.obolibrary.org/obo/VTO_0049206","Cheilinus trilobatus"
"Labrus","http://purl.obolibrary.org/obo/VTO_0049228","Labrus"
"Scaridae","http://purl.obolibrary.org/obo/VTO_0049471","Scaridae"
"Galeocharax kneri","http://purl.obolibrary.org/obo/VTO_0038066","Galeocharax knerii"
"Cynopotamus argenteus","http://purl.obolibrary.org/obo/VTO_0038082","Cynopotamus argenteus"
"Paracheirodon axelrodi","http://purl.obolibrary.org/obo/VTO_0038093","Paracheirodon axelrodi"
"Cheirodon interruptus","http://purl.obolibrary.org/obo/VTO_0038104","Cheirodon interruptus"
"Compsura heterura","http://purl.obolibrary.org/obo/VTO_0038106","Compsura heterura"
"Macropsobrycon uruguayanae","http://purl.obolibrary.org/obo/VTO_0038133","Macropsobrycon uruguayanae"
"Brittanichthys axelrodi","http://purl.obolibrary.org/obo/VTO_0038153","Brittanichthys axelrodi"
"Astyanax","http://purl.obolibrary.org/obo/VTO_0038172","Astyanax"
"Astyanax scabripinnis","http://purl.obolibrary.org/obo/VTO_0038203","Astyanax scabripinnis"
"Astyanax mexicanus","http://purl.obolibrary.org/obo/VTO_0038212","Astyanax mexicanus"
"Pristella maxillaris","http://purl.obolibrary.org/obo/VTO_0038228","Pristella maxillaris"
"Piabina argentea","http://purl.obolibrary.org/obo/VTO_0038255","Piabina argentea"
"Othonocheirodus lethostigmus","http://purl.obolibrary.org/obo/VTO_0038261","Odontostoechus lethostigmus"
"Moenkhausia lepidura","http://purl.obolibrary.org/obo/VTO_0038284","Moenkhausia lepidura"
"Tetragonopterus chalceus","http://purl.obolibrary.org/obo/VTO_0038291","Tetragonopterus chalceus"
"Tetragonopterus argenteus","http://purl.obolibrary.org/obo/VTO_0038295","Tetragonopterus argenteus"
"Megalamphodus megalopterus","http://purl.obolibrary.org/obo/VTO_0038311","Hyphessobrycon megalopterus"
"Bryconamericus iheringi","http://purl.obolibrary.org/obo/VTO_0038328","Bryconamericus iheringii"
"Bryconamericus stramineus","http://purl.obolibrary.org/obo/VTO_0038332","Bryconamericus stramineus"
"Creagrutus ignotus","http://purl.obolibrary.org/obo/VTO_0038358","Creagrutus ignotus"
"Rhaphiodon vulpinus","http://purl.obolibrary.org/obo/VTO_0038368","Rhaphiodon vulpinus"
"Cynodon gibbus","http://purl.obolibrary.org/obo/VTO_0038371","Cynodon gibbus"
"Hydrolycus scomberoides","http://purl.obolibrary.org/obo/VTO_0038374","Hydrolycus scomberoides"
"Hydrolycus pectoralis","http://purl.obolibrary.org/obo/VTO_0038374","Hydrolycus scomberoides"
"Hydrolycus armatus","http://purl.obolibrary.org/obo/VTO_0038375","Hydrolycus armatus"
"Rachoviscus crassiceps","http://purl.obolibrary.org/obo/VTO_0038385","Rachoviscus crassiceps"
"Aphyocharax anisitsi","http://purl.obolibrary.org/obo/VTO_0038399","Aphyocharax anisitsi"
"Diapoma terofali","http://purl.obolibrary.org/obo/VTO_0038407","Diapoma terofali"
"Diapoma speculiferum","http://purl.obolibrary.org/obo/VTO_0038408","Diapoma speculiferum"
"Pseudocorynopoma doriae","http://purl.obolibrary.org/obo/VTO_0038416","Pseudocorynopoma doriae"
"Mimagoniates inequalis","http://purl.obolibrary.org/obo/VTO_0038428","Mimagoniates inequalis"
"Mimagoniates microlepis","http://purl.obolibrary.org/obo/VTO_0038429","Mimagoniates microlepis"
"Mimagoniates rheocharis","http://purl.obolibrary.org/obo/VTO_0038430","Mimagoniates rheocharis"
"Mimagoniates lateralis","http://purl.obolibrary.org/obo/VTO_0038432","Mimagoniates lateralis"
"Corynopoma riisei","http://purl.obolibrary.org/obo/VTO_0038434","Corynopoma riisei"
"Citharinidae","http://purl.obolibrary.org/obo/VTO_0038440","Citharinidae"
"Citharinus citharus","http://purl.obolibrary.org/obo/VTO_0038458","Citharinus citharus"
"Ctenoluciidae","http://purl.obolibrary.org/obo/VTO_0038460","Ctenoluciidae"
"Boulengerella maculata","http://purl.obolibrary.org/obo/VTO_0038463","Boulengerella maculata"
"Ctenolucius hujeta","http://purl.obolibrary.org/obo/VTO_0038466","Ctenolucius hujeta"
"Curimatidae","http://purl.obolibrary.org/obo/VTO_0038468","Curimatidae"
"Prochilodus costatus","http://purl.obolibrary.org/obo/VTO_0038471","Prochilodus costatus"
"Prochilodus lineatus","http://purl.obolibrary.org/obo/VTO_0038484","Prochilodus lineatus"
"Semaprochilodus taeniurus","http://purl.obolibrary.org/obo/VTO_0038487","Semaprochilodus taeniurus"
"Semaprochilodus insignis","http://purl.obolibrary.org/obo/VTO_0038489","Semaprochilodus insignis"
"Potamorhina latior","http://purl.obolibrary.org/obo/VTO_0038510","Potamorhina latior"
"Curimatopsis macrolepis","http://purl.obolibrary.org/obo/VTO_0038520","Curimatopsis macrolepis"
"Gasteropelecidae","http://purl.obolibrary.org/obo/VTO_0038524","Gasteropelecidae"
"Thorachocharax stellatus","http://purl.obolibrary.org/obo/VTO_0038526","Thoracocharax stellatus"
"Carnegiella strigata","http://purl.obolibrary.org/obo/VTO_0038534","Carnegiella strigata"
"Chilodontidae","http://purl.obolibrary.org/obo/VTO_0038542","Chilodontidae"
"Caenotropus labyrinthicus","http://purl.obolibrary.org/obo/VTO_0038544","Caenotropus labyrinthicus"
"Chilodus punctatus","http://purl.obolibrary.org/obo/VTO_0038546","Chilodus punctatus"
"Distichodontidae","http://purl.obolibrary.org/obo/VTO_0038548","Distichodontidae"
"Xenocharax spilurus","http://purl.obolibrary.org/obo/VTO_0038554","Xenocharax spilurus"
"Distichodus notospilus","http://purl.obolibrary.org/obo/VTO_0038582","Distichodus notospilus"
"Distichodus fasciolatus","http://purl.obolibrary.org/obo/VTO_0038583","Distichodus fasciolatus"
"Erythrinidae","http://purl.obolibrary.org/obo/VTO_0038598","Erythrinidae"
"Erythrinus erythrinus","http://purl.obolibrary.org/obo/VTO_0038602","Erythrinus erythrinus"
"Hoplias malabaricus","http://purl.obolibrary.org/obo/VTO_0038605","Hoplias malabaricus"
"Hoplias cf. malabaricus","http://purl.obolibrary.org/obo/VTO_0038605","Hoplias malabaricus"
"Acestrorhynchidae","http://purl.obolibrary.org/obo/VTO_0038612","Acestrorhynchidae"
"Acestrorhynchus pantaneiro","http://purl.obolibrary.org/obo/VTO_0038614","Acestrorhynchus pantaneiro"
"Acestrorhynchus altus","http://purl.obolibrary.org/obo/VTO_0038618","Acestrorhynchus altus"
"Acestrorhynchus lacustris","http://purl.obolibrary.org/obo/VTO_0038620","Acestrorhynchus lacustris"
"Acestrorhynchus heterolepis","http://purl.obolibrary.org/obo/VTO_0038621","Acestrorhynchus heterolepis"
"Neopagetopsis ionah","http://purl.obolibrary.org/obo/VTO_0043582","Neopagetopsis ionah"
"Champsocephalus gunnari","http://purl.obolibrary.org/obo/VTO_0043585","Champsocephalus gunnari"
"Cryodraco antarcticus","http://purl.obolibrary.org/obo/VTO_0043588","Cryodraco antarcticus"
"Pseudochaenichthys georgianus","http://purl.obolibrary.org/obo/VTO_0043590","Pseudochaenichthys georgianus"
"Chaenocephalus aceratus","http://purl.obolibrary.org/obo/VTO_0043592","Chaenocephalus aceratus"
"Chionobathyscus dewitti","http://purl.obolibrary.org/obo/VTO_0043594","Chionobathyscus dewitti"
"Chionodraco myersi","http://purl.obolibrary.org/obo/VTO_0043596","Chionodraco myersi"
"Chionodraco hamatus","http://purl.obolibrary.org/obo/VTO_0043597","Chionodraco hamatus"
"Chionodraco rastrospinosus","http://purl.obolibrary.org/obo/VTO_0043598","Chionodraco rastrospinosus"
"Dacodraco hunteri","http://purl.obolibrary.org/obo/VTO_0043600","Dacodraco hunteri"
"Bathydraconidae","http://purl.obolibrary.org/obo/VTO_0043601","Bathydraconidae"
"Cygnodraco mawsoni","http://purl.obolibrary.org/obo/VTO_0043605","Cygnodraco mawsoni"
"Gymnodraco acuticeps","http://purl.obolibrary.org/obo/VTO_0043617","Gymnodraco acuticeps"
"Parachaenichthys charcoti","http://purl.obolibrary.org/obo/VTO_0043623","Parachaenichthys charcoti"
"Artedidraconidae","http://purl.obolibrary.org/obo/VTO_0043632","Artedidraconidae"
"Pogonophryne dolichobranchiata","http://purl.obolibrary.org/obo/VTO_0043644","Pogonophryne scotti"
"Histiodraco velifer","http://purl.obolibrary.org/obo/VTO_0043654","Histiodraco velifer"
"Eleginops","http://purl.obolibrary.org/obo/VTO_0043663","Eleginops"
"Nototheniidae","http://purl.obolibrary.org/obo/VTO_0043665","Nototheniidae"
"Dissostichus","http://purl.obolibrary.org/obo/VTO_0043666","Dissostichus"
"Dissostichus mawsoni","http://purl.obolibrary.org/obo/VTO_0043668","Dissostichus mawsoni"
"Patagonotothen","http://purl.obolibrary.org/obo/VTO_0043669","Patagonotothen"
"Patagonotothen ramsayi","http://purl.obolibrary.org/obo/VTO_0043671","Patagonotothen ramsayi"
"Paranotothenia","http://purl.obolibrary.org/obo/VTO_0043680","Paranotothenia"
"Notothenia","http://purl.obolibrary.org/obo/VTO_0043682","Notothenia"
"Notothenia coriiceps neglecta","http://purl.obolibrary.org/obo/VTO_0043686","Notothenia coriiceps"
"Gobionotothen","http://purl.obolibrary.org/obo/VTO_0043688","Gobionotothen"
"Notothenia gibberifrons","http://purl.obolibrary.org/obo/VTO_0043691","Gobionotothen gibberifrons"
"Lepidonotothen","http://purl.obolibrary.org/obo/VTO_0043692","Lepidonotothen"
"Pagothenia","http://purl.obolibrary.org/obo/VTO_0043697","Pagothenia"
"Pagothenia borchgrevinki","http://purl.obolibrary.org/obo/VTO_0043698","Pagothenia borchgrevinki"
"Trematomus","http://purl.obolibrary.org/obo/VTO_0043701","Trematomus"
"Cryothenia","http://purl.obolibrary.org/obo/VTO_0043717","Cryothenia"
"Cottoperca gobio","http://purl.obolibrary.org/obo/VTO_0043728","Cottoperca gobio"
"Bovichthys variegatus","http://purl.obolibrary.org/obo/VTO_0043730","Bovichtus variegatus"
"Pseudaphritis urvilli","http://purl.obolibrary.org/obo/VTO_0043733","Pseudaphritis urvillii"
"Channidae","http://purl.obolibrary.org/obo/VTO_0043735","Channidae"
  , "http://purl.obolibrary.org/obo/VTO_0043735","Channidae"
"Trachinidae","http://purl.obolibrary.org/obo/VTO_0043770","Trachinidae"
"Creediidae","http://purl.obolibrary.org/obo/VTO_0043777","Creediidae"
  , "http://purl.obolibrary.org/obo/VTO_0043777","Creediidae"
"Ammodytidae","http://purl.obolibrary.org/obo/VTO_0043786","Ammodytidae"
  , "http://purl.obolibrary.org/obo/VTO_0043786","Ammodytidae"
"Leptoscopidae","http://purl.obolibrary.org/obo/VTO_0043803","Leptoscopidae"
"Champsodontidae","http://purl.obolibrary.org/obo/VTO_0043806","Champsodontidae"
"Champsodon atridorsalis","http://purl.obolibrary.org/obo/VTO_0043809","Champsodon atridorsalis"
"Champsodon snyderi","http://purl.obolibrary.org/obo/VTO_0043810","Champsodon snyderi"
"Percophidae","http://purl.obolibrary.org/obo/VTO_0043811","Percophidae"
"Uranoscopidae","http://purl.obolibrary.org/obo/VTO_0043821","Uranoscopidae"
"Gobiesocidae","http://purl.obolibrary.org/obo/VTO_0043849","Gobiesocidae"
  , "http://purl.obolibrary.org/obo/VTO_0043849","Gobiesocidae"
"Haemulidae","http://purl.obolibrary.org/obo/VTO_0043937","Haemulidae"
"Kuhliidae","http://purl.obolibrary.org/obo/VTO_0044070","Kuhliidae"
"Kyphosidae","http://purl.obolibrary.org/obo/VTO_0044078","Kyphosidae"
"Lactariidae","http://purl.obolibrary.org/obo/VTO_0044124","Lactariidae"
"Leiognathidae","http://purl.obolibrary.org/obo/VTO_0044127","Leiognathidae"
"Leptobramidae","http://purl.obolibrary.org/obo/VTO_0044206","Leptobramidae"
"Callanthiidae","http://purl.obolibrary.org/obo/VTO_0044239","Callanthiidae"
"Cepolidae","http://purl.obolibrary.org/obo/VTO_0044255","Cepolidae"
"Chaetodontidae","http://purl.obolibrary.org/obo/VTO_0044267","Chaetodontidae"
"Pholidichthyidae","http://purl.obolibrary.org/obo/VTO_0044382","Pholidichthyidae"
"Percichthyidae","http://purl.obolibrary.org/obo/VTO_0044385","Percichthyidae"
"Percidae","http://purl.obolibrary.org/obo/VTO_0044412","Percidae"
"Ambassis wolffii","http://purl.obolibrary.org/obo/VTO_0044746","Parambassis wolffii"
"Sparidae","http://purl.obolibrary.org/obo/VTO_0044755","Sparidae"
"Moronidae","http://purl.obolibrary.org/obo/VTO_0044910","Moronidae"
"Morone americana","http://purl.obolibrary.org/obo/VTO_0044922","Morone americana"
"Polycentridae","http://purl.obolibrary.org/obo/VTO_0044923","Polycentridae"
"Scombropidae","http://purl.obolibrary.org/obo/VTO_0044928","Scombropidae"
"Centrarchidae","http://purl.obolibrary.org/obo/VTO_0044933","Centrarchidae"
"Centracanthidae","http://purl.obolibrary.org/obo/VTO_0044975","Centracanthidae"
"Gerreidae","http://purl.obolibrary.org/obo/VTO_0044985","Gerreidae"
"Centropomidae","http://purl.obolibrary.org/obo/VTO_0045037","Centropomidae"
"Synodontis angelicus","http://purl.obolibrary.org/obo/VTO_0061776","Synodontis angelica"
"Synodontis contracta","http://purl.obolibrary.org/obo/VTO_0061811","Synodontis contracta"
"Synodontis contractus","http://purl.obolibrary.org/obo/VTO_0061811","Synodontis contracta"
"Synodontis eupterus","http://purl.obolibrary.org/obo/VTO_0061828","Synodontis euptera"
"Synodontis euptera","http://purl.obolibrary.org/obo/VTO_0061828","Synodontis euptera"
"Synodontis decorus","http://purl.obolibrary.org/obo/VTO_0061829","Synodontis decora"
"Synodontis decora","http://purl.obolibrary.org/obo/VTO_0061829","Synodontis decora"
"Synodontis serratus","http://purl.obolibrary.org/obo/VTO_0061830","Synodontis serrata"
"Synodontis flavitaeniatus","http://purl.obolibrary.org/obo/VTO_0061844","Synodontis flavitaeniata"
"Noemacheilus potanini","http://purl.obolibrary.org/obo/VTO_0062230","Paracobitis potanini"
"Lepidocephalus guntea","http://purl.obolibrary.org/obo/VTO_0062930","Lepidocephalus guntea"
"Zacco sieboldii","http://purl.obolibrary.org/obo/VTO_0063063","Nipponocypris sieboldii"
"Barbus conchonius","http://purl.obolibrary.org/obo/VTO_0063192","Puntius conchonius"
"Puntius filamentosus","http://purl.obolibrary.org/obo/VTO_0063269","Puntius filamentosus"
"Phoxinus cumberlandensis","http://purl.obolibrary.org/obo/VTO_0064051","Phoxinus cumberlandensis"
"Phoxinus neogaeus","http://purl.obolibrary.org/obo/VTO_0064055","Phoxinus neogaeus"
"Labeo erythrurus","http://purl.obolibrary.org/obo/VTO_0064092","Epalzeorhynchos frenatum"
"Scophthalmus maximus","http://purl.obolibrary.org/obo/VTO_0069215","Psetta maxima"
"Vieja maculicauda","http://purl.obolibrary.org/obo/VTO_0073409","Vieja maculicauda"
"Nandopsis ramsdeni","http://purl.obolibrary.org/obo/VTO_0073780","Cichlasoma ramsdeni"
"Trematomus bernacchii","http://purl.obolibrary.org/obo/VTO_0079006","Pseudotrematomus bernacchii"
"Inermiidae","http://purl.obolibrary.org/obo/VTO_0079035","Inermiidae"
"Cetorhinidae","http://purl.obolibrary.org/obo/VTO_0080434","Cetorhinidae"
"Lamnidae","http://purl.obolibrary.org/obo/VTO_0080439","Lamnidae"
"Parascylliidae","http://purl.obolibrary.org/obo/VTO_0000535","Parascylliidae"
"Parascylliids","http://purl.obolibrary.org/obo/VTO_0000535","Parascylliidae"
"Oxynotus","http://purl.obolibrary.org/obo/VTO_0000589","Oxynotus"
"Squaliolus laticaudus","http://purl.obolibrary.org/obo/VTO_0000599","Squaliolus laticaudus"
"Trigonognathus","http://purl.obolibrary.org/obo/VTO_0000702","Trigonognathus"
"Aculeola","http://purl.obolibrary.org/obo/VTO_0000704","Aculeola"
"Pliotrema warreni","http://purl.obolibrary.org/obo/VTO_0000764","Pliotrema warreni"
"Anacanthobatidae","http://purl.obolibrary.org/obo/VTO_0001026","Anacanthobatidae"
"Arhynchobatidae","http://purl.obolibrary.org/obo/VTO_0001031","Arhynchobatidae"
"Myliobatidae","http://purl.obolibrary.org/obo/VTO_0001109","Myliobatidae"
