 "matrix_taxon" , "vto" , "vto_label" , "collection" , "catNum" ,
 "Hybopsis rubrifrons" , "http://purl.obolibrary.org/obo/VTO_0040224" , "Hybopsis rubrifrons" , "KU" , "8829" ,
 "Hybopsis sabinae" , "http://purl.obolibrary.org/obo/VTO_0040397" , "Notropis sabinae" , "KU" , "6237" ,
 "Hybopsis sabinae" , "http://purl.obolibrary.org/obo/VTO_0040397" , "Notropis sabinae" , "KU" , "9480" ,
 "Hybopsis sabinae" , "http://purl.obolibrary.org/obo/VTO_0040397" , "Notropis sabinae" , "KU" , "19673" ,
 "Hybopsis longirostris" , "http://purl.obolibrary.org/obo/VTO_0040405" , "Notropis longirostris" , "KU" , "16871" ,
 "Hybopsis longirostris" , "http://purl.obolibrary.org/obo/VTO_0040405" , "Notropis longirostris" , "KU" , "17965" ,
 "Notropis potteri" , "http://purl.obolibrary.org/obo/VTO_0040408" , "Notropis potteri" , "KU" , "14222" ,
 "Notropis blennius" , "http://purl.obolibrary.org/obo/VTO_0040410" , "Notropis blennius" , "KU" , "5130" ,
 "Notropis blennius" , "http://purl.obolibrary.org/obo/VTO_0040410" , "Notropis blennius" , "KU" , "8242" ,
 "Notropis blennius" , "http://purl.obolibrary.org/obo/VTO_0040410" , "Notropis blennius" , "KU" , "9640" ,
 "Notropis blennius" , "http://purl.obolibrary.org/obo/VTO_0040410" , "Notropis blennius" , "KU" , "9665" ,
 "Notropis blennius" , "http://purl.obolibrary.org/obo/VTO_0040410" , "Notropis blennius" , "KU" , "16045" ,
 "Hoplosternum thoracatum" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "LACM" , "41945-1" ,
 "Hybopsis longirostris" , "http://purl.obolibrary.org/obo/VTO_0040405" , "Notropis longirostris" , "LACM" , "39853-1" ,
 "Notropis potteri" , "http://purl.obolibrary.org/obo/VTO_0040408" , "Notropis potteri" , "LACM" , "39839-1" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "MNHN" , "1968-53" ,
 "Clarias senegalensis" , "http://purl.obolibrary.org/obo/VTO_0035540" , "Clarias anguillaris" , "NRM" , "15319" ,
 "Hybopsis amblops" , "http://purl.obolibrary.org/obo/VTO_0040218" , "Hybopsis amblops" , "TU" , "25401" ,
 "Hybopsis rubrifrons" , "http://purl.obolibrary.org/obo/VTO_0040224" , "Hybopsis rubrifrons" , "TU" , "26159" ,
 "Hoplosternum littorale" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "UFRJ" , "1005" ,
 "Hoplosternum littorale" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "UFRJ" , "1010" ,
 "Hoplosternum littorale" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "UFRJ" , "1026" ,
 "Hoplosternum littorale" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "UFRJ" , "3650" ,
 "Hoplosternum littorale" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "UFRJ" , "3792" ,
 "Notopterus notopterus" , "http://purl.obolibrary.org/obo/VTO_0033680" , "Notopterus notopterus" , "USNM" , "315405" ,
 "Ochetobius elongatus" , "http://purl.obolibrary.org/obo/VTO_0040482" , "Ochetobius elongatus" , "AMNH" , "10891" ,
 "Barbus ablades" , "http://purl.obolibrary.org/obo/VTO_0040574" , "Barbus ablabes" , "AMNH" , "32726" ,
 "Sarcocheilichthys variegatus" , "http://purl.obolibrary.org/obo/VTO_0040846" , "Sarcocheilichthys variegatus" , "AMNH" , "26742" ,
 "Ptychocheilus grandis" , "http://purl.obolibrary.org/obo/VTO_0040882" , "Ptychocheilus grandis" , "AMNH" , "46007SD-C" ,
 "Gyrinocheilus aymonieri" , "http://purl.obolibrary.org/obo/VTO_0040888" , "Gyrinocheilus aymonieri" , "AMNH" , "77898SW" ,
 "Gyrinocheilus aymonieri" , "http://purl.obolibrary.org/obo/VTO_0040888" , "Gyrinocheilus aymonieri" , "AMNH" , "77898" ,
 "Acanthophthalmus kuhli" , "http://purl.obolibrary.org/obo/VTO_0040962" , "Pangio kuhlii" , "AMNH" , "77902" ,
 "Noemacheilus pulcher" , "http://purl.obolibrary.org/obo/VTO_0041170" , "Micronemacheilus pulcher" , "AMNH" , "10347" ,
 "Noemacheilus pulcher" , "http://purl.obolibrary.org/obo/VTO_0041170" , "Micronemacheilus pulcher" , "AMNH" , "10284" ,
 "Noemacheilus barbatulus" , "http://purl.obolibrary.org/obo/VTO_0041175" , "Barbatula barbatula" , "AMNH" , "37608" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "AMNH" , "37356" ,
 "Gyrinocheilus aymoneri" , "http://purl.obolibrary.org/obo/VTO_0040888" , "Gyrinocheilus aymonieri" , "BSKU" , "14744" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "CU" , "21847" ,
 "Notropis jemezanus" , "http://purl.obolibrary.org/obo/VTO_0040374" , "Notropis jemezanus" , "CU" , "55685" ,
 "Notropis amoenus" , "http://purl.obolibrary.org/obo/VTO_0040376" , "Notropis amoenus" , "CU" , "50284" ,
 "Notropis amabilis" , "http://purl.obolibrary.org/obo/VTO_0040377" , "Notropis amabilis" , "CU" , "50492" ,
 "Notropis ariommus" , "http://purl.obolibrary.org/obo/VTO_0040380" , "Notropis ariommus" , "CU" , "50254" ,
 "Noemacheilus barbatulus" , "http://purl.obolibrary.org/obo/VTO_0041175" , "Barbatula barbatula" , "HUMZ" , "57529" ,
 "Noemacheilus barbatulus" , "http://purl.obolibrary.org/obo/VTO_0041175" , "Barbatula barbatula" , "HUMZ" , "57530" ,
 "Noemacheilus barbatulus" , "http://purl.obolibrary.org/obo/VTO_0041175" , "Barbatula barbatula" , "HUMZ" , "57528" ,
 "Noemacheilus barbatulus" , "http://purl.obolibrary.org/obo/VTO_0041175" , "Barbatula barbatula" , "HUMZ" , "57531" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65434" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65435" ,
