matrix_taxon, vto, ott_id
"Schizolecis guntheri", VTO_0037002, ott950003
"Acestridium discus", VTO_0037006, ott925559
"Parotocinclus maculicauda", VTO_0037012, ott376395
"Otocinclus maculicauda", VTO_0037012, ott376395
"Microlepidogaster perforatus", VTO_0037045, ott949995
"Sturisomatichthys citrensis", VTO_0037056, ott223148
"Sturisomatichthys citurensis", VTO_0037056, ott223148
"Sturisoma fistivum", VTO_0037083, ott649704
"Sturisoma festivum", VTO_0037083, ott649704
"Rhineloricaria lanceolata", VTO_0037098, ott636429
"Limatulichthys punctatus", VTO_0037128, ott11359
"Ixinandria montelbelloi", VTO_0037146, ott373895
"Crossoloricaria venezuelae", VTO_0037148, ott23759
"Lithogenes villosus", VTO_0037151, ott839753
"Isbrueckerichthys alipionis", VTO_0037156, ott549962
"Isbrueckerichthys duseni", VTO_0037157, ott549964
"Pareiorhina rudolphi", VTO_0037162, ott1076718
"Kronichthys sp.", VTO_0037176, ott630662
"Kronichthys heylandi", VTO_0037178, ott650416
"Hemipsilichthys nudulus", VTO_0037185, ott630679
"Hemipsilichthys splendens", VTO_0037199, ott630669
"Neoplecostomus microps", VTO_0037229, ott122084
"Chaetostoma anomala", VTO_0037251, ott494908
"Chaetostomus anomalus", VTO_0037251, ott494908
"Chaetostoma anomalus", VTO_0037251, ott494908
"Panaque nigrolineatus", VTO_0037263, ott248056
"Ancistrus cirrhosus", VTO_0037276, ott448077
"Ancistrus pirareta", VTO_0037279, ott439751
"Dekeyseria scaphirhyncha", VTO_0037290, ott936001
"Pseudancistrus brevispinis", VTO_0037310, ott377643
"Pseudacanthicus leopardus", VTO_0037329, ott696185
"Parancistrus aurantiacus", VTO_0037354, ott712196
"Parancistrus auarantiacus", VTO_0037354, ott712196
"Hemiancistrus maracaiboensis", VTO_0037360, ott420211
"Hemiancistrus panamensis", VTO_0037368, ott679867
"Hypophthalmidae", VTO_0037370, ott87893
  , VTO_0037378, ott216180
"Rhamphichthyidae", VTO_0037397, ott941375
"Hypopygus lepturus", VTO_0037399, ott738867
"Rhamphichthys reinhardti", VTO_0037410, ott748412
"Rhamphichthys rostratus", VTO_0037410, ott748412
"Steatogenys elegans", VTO_0037412, ott164259
"Hypopomidae", VTO_0037413, ott340597
"Hypopomus artedi", VTO_0037416, ott748416
"Brachyhypopomus brevirostris", VTO_0037419, ott451152
"Brachyhypopomus diazi", VTO_0037420, ott440067
"Brachyhypopomus pinnicaudatus", VTO_0037424, ott306915
"Microsternarchus bilineatus", VTO_0037426, ott164257
"Sternopygidae", VTO_0037427, ott270440
"Sternopygus macrurus", VTO_0037430, ott729097
"Gymnotidae", VTO_0037432, ott216181
"Gymnotus pedanopterus", VTO_0037434, ott463683
"Gymnotus stenoleucus", VTO_0037437, ott463666
"Gymnotus inaequilabeatus", VTO_0037440, ott483433
"Gymnotus inaequilabiatus", VTO_0037440, ott483433
"Gymnotus carapo", VTO_0037441, ott445408
"Catostomidae", VTO_0041374, ott429113
"Scartomyzon congestus", VTO_0041399, ott205579
"Myxocyprinus asiaticus", VTO_0041410, ott141409
"Ictiobus niger", VTO_0041417, ott444697
"Ictiobus labiosus", VTO_0041419, ott584460
"Ictiobus bubalus", VTO_0041420, ott955109
"Ictiobus meridionalis", VTO_0041422, ott584458
"Hypentelium nigricans", VTO_0041434, ott584073
"Hypenthelium nigricans", VTO_0041434, ott584073
"Catostomus leopoldi", VTO_0041441, ott278707
"Catostomus wigginsi", VTO_0041443, ott278713
"Catostomus santaanae", VTO_0041444, ott1095324
"Catostomus fumeiventris", VTO_0041445, ott1095311
"Catostomus insignis", VTO_0041446, ott1095309
"Catostomus catostomus", VTO_0041447, ott341229
"Catostomus macrocheilus", VTO_0041448, ott341233
"Catostomus bernardini", VTO_0041449, ott278703
"Catostomus discobolus", VTO_0041453, ott271226
"Catostomus commersoni", VTO_0041458, ott955101
"Pantosteus clarki", VTO_0041460, ott955105
"Catostomus clarki", VTO_0041460, ott955105
"Catostomus latipinnis", VTO_0041461, ott330982
"Catostomus plebeius", VTO_0041466, ott518658
"Catostomus ardens", VTO_0041467, ott796794
"Carpiodes velifer", VTO_0041470, ott101385
"Euteleosteomorpha", VTO_0041706, ott?
"Polymixiidae", VTO_0041715, ott617749
"Polymixia", VTO_0041716, ott617742
  , VTO_0041730, ott587933
"Stephanoberycidae", VTO_0041744, ott944688
"Melamphaidae", VTO_0041747, ott190715
"Melamphaes", VTO_0041750, ott273430
"Melamphaes suborbitalis", VTO_0041751, ott297164
"Scopeloberyx robustus", VTO_0041762, ott707552
"Megalomycteridae", VTO_0041769, ott118790
  , VTO_0041769, ott118790
"Ataxolepis apus", VTO_0041771, ott383170
"Barbourisiidae", VTO_0041772, ott587934
"Rondeletiidae", VTO_0041775, ott190706
"Cetomimidae", VTO_0041788, ott118790
  , VTO_0041788, ott118790
"Percomorphacea", VTO_0041824, ott5551466
"Dactylopteridae", VTO_0041827, ott183859
"Dactylopterus volitans", VTO_0041829, ott183857
  , VTO_0041834, ott36216
"Molidae", VTO_0041836, ott36202
  , VTO_0041836, ott36202
"Mola mola", VTO_0041841, ott457786
"Triodontidae", VTO_0041846, ott95339
  , VTO_0041846, ott95339
"Triodon macropterus", VTO_0041848, ott95335
"Tetraodontidae", VTO_0041850, ott65336
"Tetradontidae", VTO_0041850, ott65336
  , VTO_0041850, ott65336
"Canthigaster rostrata", VTO_0041873, ott484093
"Sphoeroides maculatus", VTO_0041907, ott383859
"Tetraodon mbu", VTO_0041919, ott254734
"Diodontidae", VTO_0041983, ott557117
  , VTO_0041983, ott557117
"Monacanthus ciliatus", VTO_0042036, ott959216
"Stephanolepis hispidus", VTO_0042056, ott662022
"Balistidae", VTO_0042075, ott36225
"Panaque purusiensis", VTO_0060071, ott3623075
"Panaque albomaculatus", VTO_0060073, ott3623047
"Panaque maccus", VTO_0060074, ott1087463
"Megalancistrus sp.", VTO_0060076, ott?
"Peckoltia niveata", VTO_0060080, ott73910
"Pseudancistrus sp.", VTO_0060084, ott?
"Pseudancistrus sp. gold spot (Armbruster 2004)", VTO_0060090, ott?
"Harttia sp.", VTO_0060095, ott?
"Lipopterichthys sp.", VTO_0060105, ott?
"Lipopterichthys carrioni", VTO_0060106, ott3622521
"Loricariinae sp.", VTO_0060107, ott?
"Dolichancistrus cobrensis", VTO_0060110, ott3623053
"Dolichancistrus pediculatus", VTO_0060111, ott3623008
"Dolichancistrus atratoensis", VTO_0060114, ott3623079
"Otothyris lophophanes", VTO_0060116, ott3622971
"Otothyris cephalacanthus", VTO_0060116, ott3622971
"Otothyris sp.", VTO_0060117, ott?
"Otothyris sp.", VTO_0060118, ott?
"Pareiorhina sp.", VTO_0060121, ott?
"Pareiorhina sp.", VTO_0060122, ott?
"Panaque sp.", VTO_0060125, ott?
"Panaque sp.", VTO_0060126, ott?
"Pseudolithoxus anthrax", VTO_0060128, ott3622499
"Baryancistrus niveatus", VTO_0060132, ott3623076
"Sturisoma sp.", VTO_0060135, ott?
"Sturisoma sp.", VTO_0060139, ott?
"Sturisoma lyra", VTO_0060146, ott3622660
"Hemipsilichthys cameroni", VTO_0060147, ott108989
"Schizolecis sp.", VTO_0060152, ott?
"Leptoancistrus canensis", VTO_0060155, ott3623002
"Hypostomus emarginatus 2", VTO_0060157, ott?
"Hypostomus hemicochliodon", VTO_0060159, ott3622916
"Hypostomus sp.", VTO_0060166, ott?
"Hypostomus sp.", VTO_0060186, ott?
"Hypostomus sp.", VTO_0060191, ott?
"Hypostomus sp. round snout 2", VTO_0060202, ott?
"Hypostomus sp. round snout 1", VTO_0060203, ott?
"Hypostomus francisci", VTO_0060211, ott3622878
"Hypostomus plecostomus 2", VTO_0060216, ott?
"Hypostomus micromaculatus", VTO_0060226, ott3622874
"Hypostomus cordovae", VTO_0060227, ott410068
"Hypostomus bolivianus", VTO_0060229, ott3622861
"Hypostomus emarginatus 1", VTO_0060252, ott?
"Hypostomus unicolor", VTO_0060261, ott3622820
"Peckoltia big spot", VTO_0060266, ott?
"Peckoltia sp.2", VTO_0060269, ott?
"Peckoltia sp.1", VTO_0060270, ott?
"Peckoltia ucayalensis", VTO_0060276, ott3622621
"Corymbophanes andersoni", VTO_0060279, ott3622829
"New genus", VTO_0060293, ott?
"Pogonopomoides prahybae", VTO_0060296, ott3623072
"Pogonopoma parahybae", VTO_0060296, ott3623072
"Pogonopomoides parahybae", VTO_0060296, ott3623072
"Pogonopoma wertheimeri", VTO_0060297, ott3623012
"Otocinclus affinis", VTO_0060300, ott122089
"Hypoptopoma sp.", VTO_0060301, ott?
"Hypoptopoma sp.", VTO_0060302, ott?
"Hypoptopoma sp.", VTO_0060303, ott?
"Hypoptopoma joberti", VTO_0060305, ott122079
"Hypoptopoma thoracatum", VTO_0060306, ott466530
"Hypoptopoma sp.", VTO_0060307, ott?
"Spectracanthicus punctatissimus", VTO_0060309, ott3623017
"Lasiancistrus sp.", VTO_0060311, ott?
"Lasiancistrus maracaiboensis", VTO_0060312, ott3622506
"Lasiancistrus mayoloi", VTO_0060314, ott242538
"Lasiancistrus caucanus", VTO_0060314, ott242538
"Neoplecostomus sp.", VTO_0060319, ott?
"Neoplecostomus sp.", VTO_0060322, ott?
"Neoplecostomus sp.", VTO_0060324, ott?
"Spectracanthicus murinus", VTO_0060335, ott3623085
"Farlowella sp.", VTO_0060339, ott?
"Farlowella sp.", VTO_0060345, ott?
"Farlowella knerii", VTO_0060347, ott3622686
"Farlowella sp.", VTO_0060356, ott?
"Otocinclus mariae", VTO_0060364, ott3622946
"Otocinclus sp.", VTO_0060369, ott?
"Neblinichthys roraima", VTO_0060388, ott3623021
"Neblinichthys pilosus", VTO_0060389, ott3623051
"Reganella sp.", VTO_0060391, ott?
"Microlepidogaster sp.", VTO_0060393, ott?
"Microlepidogaster sp.", VTO_0060394, ott?
"Microlepidogaster sp.", VTO_0060395, ott?
"Crossoloricaria sp.", VTO_0060400, ott?
"Limatulichthys sp.", VTO_0060407, ott?
"Plecostomus sp.", VTO_0060413, ott?
"Pterygoplichthys lituratus", VTO_0060415, ott3622826
"Pterygoplichthys punctatus", VTO_0060416, ott3622821
"Liposarcus sp.", VTO_0060417, ott?
"Pterygoplichthys sp.", VTO_0060422, ott?
"Pterygoplichthys sp.", VTO_0060423, ott?
"Pterygoplichthys sp.", VTO_0060425, ott?
"Euristhmus lepturus", VTO_0060442, ott3622071
"Cnidoglanis sp.", VTO_0060447, ott?
"Lampridae", VTO_0057241, ott888446
"Benthalbella elongata", VTO_0057530, ott902369
"Aulopus japonicus", VTO_0057554, ott18282
"Synodus synodus", VTO_0057561, ott1024465
"Saurida gracilis", VTO_0057593, ott62763
"Bathysaurus mollis", VTO_0057684, ott1029237
"Idiacanthus atlanticus", VTO_0057888, ott632933
"Umbra pygmaea", VTO_0058029, ott586177
"Prohalecites", VTO_0059175, ott3644107
"Prohalecites porroi", VTO_0059176, ott6142350
"Dapedium pholidotum", VTO_0059179, ott4949569
"Pachycormus macropterus", VTO_0059183, ott4949506
"Pachycormus sp.", VTO_0059184, ott?
"Hypsocormus insignis", VTO_0059186, ott6142510
"Watsonulus eugnathoides", VTO_0059189, ott?
"Amia pattersoni", VTO_0059190, ott3644067
"Ichthyodectiformes", VTO_0059191, ott?
"Allothrissops sp.", VTO_0059194, ott?
"Allothrissops mesogaster", VTO_0059195, ott6142270
"Thrissops cf. T. subovatus", VTO_0059197, ott?
"Thrissops cf. T. formosus", VTO_0059198, ott?
"Thrissops cephalus", VTO_0059199, ott?
"Thrissops subovatus", VTO_0059200, ott6142440
"Thrissops regleyi", VTO_0059201, ott6142271
"Pachythrissops sp.", VTO_0059203, ott?
"Pachythrissops laevis", VTO_0059204, ott4949674
"Pachythrissops propterus", VTO_0059205, ott6142472
"Pachythrissops vectensis", VTO_0059206, ott4949675
"Pachythrissops furcatus", VTO_0059207, ott?
"Tischlingerichthys viohli", VTO_0059210, ott6142789
"Pardiglanis tarabinii", VTO_0059213, ott3624245
"Chrysichthys bocagii", VTO_0059217, ott3623585
"Chrysichthys walkeri", VTO_0059221, ott3623587
"Chrysichthys velifer", VTO_0059223, ott3623583
"Gephyroglanis lowei", VTO_0059223, ott3623583
"Chrysichthys longibarbus", VTO_0059224, ott3623615
"Chrysichthys aluuensis", VTO_0059225, ott3623598
"Gephyroglanis longipinnis", VTO_0059226, ott3623592
"Chrysichthys longipinnis", VTO_0059226, ott3623592
"Chrysichthys habereri", VTO_0059227, ott3623608
"Chrysichthys ansorgii", VTO_0059228, ott3623597
"Chrysichthys wagenaari", VTO_0059229, ott3623605
"Chrysichthys mabusi", VTO_0059230, ott3623609
"Chrysichthys cranchi", VTO_0059232, ott3623614
"Chrysichthys cranchii", VTO_0059232, ott3623614
"Chrysichthys punctatus", VTO_0059233, ott3623616
"Chrysichthys platycephalus", VTO_0059235, ott3623712
"Chrysichthys brevibarbus", VTO_0059238, ott3623619
"Chrysichthys johnelsi", VTO_0059242, ott3623602
"Chrysichthys ornatus", VTO_0059246, ott3623618
"Chrysichthys sianenna", VTO_0059247, ott3623709
"Chrysichthys delhezi", VTO_0059248, ott3623620
"Chrysichthys sp. 2", VTO_0059249, ott?
"Chrysichthys brachynema", VTO_0059250, ott3623588
"Chrysichthys stappersi", VTO_0059251, ott3623617
"Chrysichthys thonneri", VTO_0059251, ott3623617
"Chrysichthys sp. 1", VTO_0059252, ott?
"Chrysichthys persimilis", VTO_0059256, ott941023
"Chrysichthys grandis", VTO_0059257, ott3623713
"Gephyroglanis congicus", VTO_0059259, ott3624334
"Platyglanis depierrei", VTO_0059263, ott3624315
"Lophiobagrus cyclurus", VTO_0059267, ott3623715
"Lophiobagrus aguilus", VTO_0059268, ott3623716
"Lophiobagrus aquilus", VTO_0059268, ott3623716
"Phyllonemus filinemus", VTO_0059269, ott3623717
"Amarginops platus", VTO_0059272, ott3624274
"Chrysichthys hildae", VTO_0059273, ott3623593
"Gnathobagrus depressus", VTO_0059275, ott3623806
"Chrysichthys graueri", VTO_0059276, ott5839257
"Heteropneustes sp.", VTO_0059279, ott?
"Pseudopimelodus albomarginatus", VTO_0059281, ott3624193
"Cephalosilurus fowleri", VTO_0059282, ott3624192
"Pseudopimelodus fowleri", VTO_0059282, ott3624192
"Pseudopimelodus sp.", VTO_0059283, ott?
"Pseudopoimelodus sp.", VTO_0059284, ott?
"Pseudopimelodus zungaro do rio Magdalena", VTO_0059286, ott3624188
"Pseudopimelodus zungaro", VTO_0059286, ott3624188
"Microglanis nigripinnis", VTO_0059290, ott3624185
"Microglanis secundus", VTO_0059291, ott3624177
"Microglanis parahybae de Bahia", VTO_0059292, ott5342788
"Microglanis parahybae", VTO_0059292, ott5342788
"Microglanis eurystoma", VTO_0059296, ott3624172
"Microglanis cottoides", VTO_0059297, ott3624176
"Microglanis aff. iberingi", VTO_0059298, ott?
"Microglanis poecilius", VTO_0059299, ott3624183
"Microglanis poecilus", VTO_0059299, ott3624183
"Microglanis cibelae", VTO_0059301, ott3624186
"Microglanis sp.", VTO_0059302, ott?
"Hypsidoris farsonensis", VTO_0059311, ott?
"Aspredinichthys tibicen", VTO_0059314, ott3624224
"Aspredo tibicen", VTO_0059314, ott3624224
"Aspredinichthys filamentosus", VTO_0059315, ott3624220
"Dupouyichthys sapito", VTO_0059317, ott3624293
"Amaralia n. sp.", VTO_0059318, ott?
"Pseudobunocephalus sp.", VTO_0059320, ott?
"Pseudobunocephalus amazonicus", VTO_0059321, ott4138566
"Pseudobunocephalus cf. bifidus", VTO_0059322, ott?
"Pseudobunocephalus lundbergi n. sp.", VTO_0059324, ott4138570
"Pseudobunocephalus iheringii", VTO_0059325, ott4138569
"Pseudobunocephalus rugosus", VTO_0059326, ott4138565
"Pseudobunocephalus bifidus", VTO_0059327, ott4138567
"Xyliphius cf. melanopterus", VTO_0059329, ott?
"Xiliphius melanopterus", VTO_0059330, ott3624343
"Xyliphius melanopterus", VTO_0059330, ott3624343
"Xyliphius magdalenae", VTO_0059332, ott3624341
"Xyliphius kryptos", VTO_0059335, ott3624223
"Xyliphius sp.", VTO_0059336, ott?
"Xyliphius lepturus", VTO_0059337, ott3624339
"Xyliphius cf. lepturus", VTO_0059338, ott?
"Ernstichthys sp.", VTO_0059340, ott?
"Emstichthys sp.", VTO_0059342, ott?
"Ernstichthys intonsus", VTO_0059343, ott3624246
"Ernstichthys megistus", VTO_0059344, ott3624249
"Ernstichthys anduzei", VTO_0059345, ott3624248
"Platystaceus sp.", VTO_0059346, ott?
"Acanthobunocephalus nicoi n. sp", VTO_0059348, ott3624345
"Hoplomyzon cf. papillatus", VTO_0059349, ott?
"Hoplomyzon atrizona", VTO_0059350, ott3623807
"Hoplomyzon sp.", VTO_0059351, ott?
"Hoplomyzon n. sp.", VTO_0059352, ott?
"Hoplomyzon papillatus", VTO_0059353, ott3623808
"Aspredo aspredo", VTO_0059355, ott3624225
"Bunocephalus larai", VTO_0059356, ott3623810
"Bunocephalus sp.", VTO_0059357, ott?
"Bunocephalus chamaizelus", VTO_0059358, ott3623812
"Agmus sp.", VTO_0059359, ott?
"Bunocephalus sp.", VTO_0059360, ott?
"Bunocephalus cf. knerii", VTO_0059361, ott?
"Bunocephalus doriae", VTO_0059362, ott3623811
"Bunocephalus amaurus", VTO_0059363, ott3623814
"Bunocephalus colombianus", VTO_0059364, ott3623815
"Agmus sp.", VTO_0059365, ott?
"Bunocephalus knerii", VTO_0059366, ott3623816
"Bunocephalus n. sp. 1", VTO_0059367, ott?
"Bunocephalus n. sp. 3", VTO_0059368, ott?
"Bunocephalus sp.", VTO_0059369, ott?
"Bunocephalus aleuropsis", VTO_0059370, ott3623809
"Bunocephalus n. sp. 5", VTO_0059372, ott?
"Bunocephalus n. sp. 4", VTO_0059373, ott?
"Bunocephalus n. sp. 2", VTO_0059374, ott?
"Bunocephalus sp.", VTO_0059375, ott?
"Bunocephalus sp.", VTO_0059376, ott?
"Pterobunocephalus dolichurus", VTO_0059377, ott3623817
"Pterobunocephalus sp.", VTO_0059378, ott?
"Olyra elongata", VTO_0059379, ott3621805
"Olyra burmanica", VTO_0059381, ott3621804
"Olyra longicaudata", VTO_0059381, ott3621804
"Olyra collettii", VTO_0059382, ott3621806
"Mystus pluriradiatus", VTO_0059389, ott3623774
"Mystus peguensis", VTO_0059392, ott3623776
"Mystus menoda", VTO_0059396, ott3623756
"Mystus corsula", VTO_0059396, ott3623756
"Mystus punctatus", VTO_0059400, ott3623780
"Mystus nemurus", VTO_0059407, ott3623773
"Mystus planiceps", VTO_0059409, ott3623765
"Mystus baramensis", VTO_0059413, ott3623762
"Mystus sabanus", VTO_0059415, ott3623768
"Pseudobagrichthys sp.", VTO_0059417, ott?
"Bagrichthys micranodus", VTO_0059419, ott3623675
"Bagrichthys hypselopterus", VTO_0059420, ott3623674
"Bagrichthys sp.", VTO_0059422, ott?
"Bagrus meridionalis", VTO_0059430, ott3623704
"Nanobagrus armatus", VTO_0059433, ott3623681
"Coreobagrus brevicorpus", VTO_0059437, ott804526
"Coreobagrus ichikawai", VTO_0059438, ott804544
"Leiocassis rugosus", VTO_0059442, ott3623649
"Leiocassis moeschii", VTO_0059445, ott3623647
"Leiocassis breviceps", VTO_0059449, ott3623658
"Leiocassis myersi", VTO_0059450, ott3623650
"Leiocassis leiacanthus", VTO_0059452, ott3623660
"Plotosus anguillaris", VTO_0060448, ott949069
"Plotosus limbatus", VTO_0060451, ott3622057
"Copidoglanis novaeguineae", VTO_0060455, ott3622045
"Neosilurus sp. 2", VTO_0060458, ott?
"Copidoglanis brevidorsalis", VTO_0060461, ott3622053
"Neosilurus sp.", VTO_0060462, ott?
"Neosilurus sp. 1", VTO_0060465, ott?
"Tandanus equinus", VTO_0060466, ott3622051
"Copidoglanis meraukensis", VTO_0060467, ott3622054
"Porochilus obbesi", VTO_0060468, ott3622055
"Paraplotosus albilabris", VTO_0060470, ott3622066
"Anodontiglanis dahli", VTO_0060474, ott3622072
"Tocantinsia depressa", VTO_0060476, ott3623553
"Tocantinsia piresi", VTO_0060476, ott3623553
"Auchenipterus nuchalis (Orinoco)", VTO_0060477, ott3623532
"Auchenipterus nuchalis", VTO_0060477, ott3623532
"Auchenipterus dentatus", VTO_0060478, ott3623534
"Auchenipterus nigripinnis", VTO_0060481, ott3623537
"Auchenipterus sp.", VTO_0060485, ott?
"Auchenipterus sp. (cuyuni)", VTO_0060486, ott?
"Entomocorus benjamini", VTO_0060490, ott3623576
"Entomocorus gameroi", VTO_0060491, ott3623579
"Entomocorus ""matogrossensis""", VTO_0060493, ott?
"Entomocorus sp.", VTO_0060495, ott?
"Trachelyopterichthys taeniatus", VTO_0060501, ott3623549
"Trachelyopterichthys anduzei", VTO_0060502, ott3623544
"Pseudauchenipterus affinis", VTO_0060504, ott3623555
"Pseudauchenipterus nodosus", VTO_0060505, ott3623564
"Pseudauchenipterus jequitinhonhae", VTO_0060506, ott3623565
"Trachelyopterus sp.", VTO_0060508, ott?
"Trachycorystes fisheri", VTO_0060515, ott3623520
"Trachelyopterus sp.", VTO_0060517, ott?
"Tetranematichthys n. sp.", VTO_0060521, ott?
"Trachycorystes sp.", VTO_0060523, ott?
"Trachycorystes trachycorystes", VTO_0060526, ott3623566
"Tatia aulopygia", VTO_0060528, ott3623477
"Tatia gyrina", VTO_0060529, ott3623474
"Tatia neivai", VTO_0060531, ott3623472
"Tatia boemia", VTO_0060532, ott3623475
"Tatia galaxia", VTO_0060533, ott3623478
"Tatia galaxias", VTO_0060533, ott3623478
"Tatia brunnea", VTO_0060535, ott3623481
"Tatia strigata", VTO_0060537, ott3623482
"Tatia sp.", VTO_0060538, ott?
"Tatia creutzbergi", VTO_0060539, ott3623474
"Centromochlus megalops", VTO_0060541, ott3623493
"Centromochlus schultzi", VTO_0060542, ott3623489
"Centromochlus n. sp.", VTO_0060543, ott?
"Tatia romani", VTO_0060546, ott3623490
"Centromochlus romani", VTO_0060546, ott3623490
"Centromochlus sp. (Rio Negro)", VTO_0060547, ott?
"Centromochlus reticulatus", VTO_0060548, ott3623492
"Centromochlus concolor", VTO_0060550, ott3623488
"Centromochlus punctatus", VTO_0060552, ott3623485
"Pseudotatia parva", VTO_0060554, ott3623573
"Glanidium albescens", VTO_0060555, ott3623498
"Glanidium ribeiroi", VTO_0060556, ott3623494
"Glanidium leopardus", VTO_0060557, ott3623499
"Glanidium cesarpintoi", VTO_0060558, ott3623497
"Auchenipterichthys longimanus", VTO_0060562, ott3623528
"Auchenipterichthys sp.", VTO_0060564, ott?
"Trachelyichthys exilis", VTO_0060566, ott3623572
"Trachelyichthys decaradiatus", VTO_0060567, ott3623570
"Trachelyichthys n. sp (lopezrojasi)", VTO_0060568, ott?
"Ageneiosus sp. 3", VTO_0060570, ott?
"Ageneiosus sp. 1", VTO_0060571, ott?
"Ageneiosus cf. guianensis", VTO_0060572, ott?
"Ageneiosus sp.", VTO_0060575, ott?
"Ageneiosus sp.", VTO_0060579, ott?
"Ageneiosus sp. 2", VTO_0060580, ott?
"Ageneiosus freiei", VTO_0060581, ott3623505
"Ageneiosus magoi", VTO_0060583, ott3623507
"Epapterus blohmi", VTO_0060587, ott3623541
"Amplexiglanis peloichthys", VTO_0060589, ott?
"Gelanoglanis stroudi", VTO_0060593, ott3623546
"Centromochlus stroudi", VTO_0060593, ott3623546
"Asterophysus batrachus", VTO_0060595, ott3623568
"Pseudocyttus maculatus", VTO_0056365, ott911682
"Neocyttus rhomboidalis", VTO_0056368, ott463422
"Allocyttus niger", VTO_0056372, ott463425
"Allocyttus verrucosus", VTO_0056373, ott891833
"Linophrynidae", VTO_0056398, ott726673
  , VTO_0056398, ott726673
"Ceratiidae", VTO_0056405, ott60126
  , VTO_0056405, ott60126
"Caulophrynidae", VTO_0056415, ott313263
  , VTO_0056415, ott313263
"Caulophryne", VTO_0056416, ott313267
"Melanocetidae", VTO_0056419, ott313274
  , VTO_0056419, ott313274
"Oneirodidae", VTO_0056432, ott101027
  , VTO_0056432, ott101027
"Himantolophidae", VTO_0056451, ott152124
  , VTO_0056451, ott152124
"Gigantactinidae", VTO_0056460, ott152132
"Giganthactinidae", VTO_0056460, ott152132
  , VTO_0056460, ott152132
"Chaunacidae", VTO_0056475, ott887848
"Ogcocephalidae", VTO_0056486, ott156643
"Tetrabrachiidae", VTO_0056512, ott203289
"Antennariidae", VTO_0056517, ott740935
"Phycidae", VTO_0056628, ott659851
"Carapidae", VTO_0057043, ott21938
  , VTO_0057043, ott21938
"Carapus", VTO_0057047, ott21932
"Lamprogrammus niger", VTO_0057092, ott913377
"Bythitidae", VTO_0057118, ott363181
  , VTO_0057118, ott363181
"Myctophum affine", VTO_0057371, ott342742
"Notoscopelus resplendens", VTO_0057450, ott866168
"Evermannellidae", VTO_0057492, ott86551
"Coccorella atlantica", VTO_0057494, ott86557
"Evermannella indica", VTO_0057498, ott86554
"Paralepididae", VTO_0057499, ott712841
"Lestidium atlanticum", VTO_0057510, ott86548
"Scopelarchidae", VTO_0057525, ott138524
"Anotopterus pharao", VTO_0057538, ott511496
"Pseudotrichonotidae", VTO_0057555, ott712838
"Pseudotrichonotus altivelis", VTO_0057557, ott712840
"Trachinocephalus myops", VTO_0057582, ott712826
"Saurida undosquamous", VTO_0057595, ott802170
"Bathysauridae", VTO_0057681, ott712833
"Bathysaurus ferox", VTO_0057683, ott712835
"Giganturidae", VTO_0057685, ott763415
  , VTO_0057685, ott763415
"Gigantura indica", VTO_0057687, ott763413
"Gigantura chuni", VTO_0057688, ott763411
"Chlorophthalmus agassizi", VTO_0057696, ott867427
"Notosudidae", VTO_0057705, ott138520
"Ipnopidae", VTO_0057715, ott763426
"Ateleopodidae", VTO_0057728, ott292501
"Stomiidae", VTO_0057869, ott734459
"Phosichthyidae", VTO_0057957, ott555245
"Esox americanus", VTO_0058016, ott47023
"Esox americanus vermiculatus", VTO_0058016, ott47023
"Esox americanus americanus", VTO_0058016, ott47023
"Esox niger", VTO_0058017, ott496121
"Esox masquinongy", VTO_0058020, ott366216
"Microstomatidae", VTO_0058258, ott562636
"Argentinidae", VTO_0058289, ott562630
"Opisthoproctidae", VTO_0058298, ott621133
"Alepocephalidae", VTO_0058330, ott859881
"Platytroctidae", VTO_0058379, ott621122
"Platytroctes apus", VTO_0058396, ott621126
"Galaxiidae", VTO_0058465, ott95055
"Retropinnidae", VTO_0058538, ott95066
"Hyperoartia", VTO_0058621, ott688828
"Lamprey", VTO_0058646, ott836800
"Hyperotreti", VTO_0058700, ott688854
"Netuma mazatlana", VTO_0059707, ott320751
"Corydoras britskii", VTO_0061348, ott841690
"Brochis britskii", VTO_0061348, ott841690
"Vieja fenestrata", VTO_0073398, ott538034
"Centropomus unidecimalis", VTO_0045040, ott317368
"Glaucosomatidae", VTO_0045059, ott701847
"Howellidae", VTO_0045070, ott879946
"Polynemidae", VTO_0045087, ott72393
"Bathymasteridae", VTO_0045107, ott300544
"Bathymaster signatus", VTO_0045113, ott300553
"Apogonidae", VTO_0045117, ott823203
"Dichistiidae", VTO_0045274, ott1036701
"Drepaneidae", VTO_0045278, ott563516
"Dinolestidae", VTO_0045283, ott1036693
"Grammatidae", VTO_0045292, ott521356
"Latidae", VTO_0045299, ott384676
"Psammoperca waigiensis", VTO_0045307, ott1086079
"Toxotidae", VTO_0045308, ott1089728
"Terapontidae", VTO_0045314, ott1089730
"Sillaginidae", VTO_0045365, ott1089734
"Serranidae", VTO_0045386, ott1089740
"Sciaenidae", VTO_0045733, ott1089742
"Caesionidae", VTO_0045938, ott129124
"Pseudochromidae", VTO_0045957, ott892956
  , VTO_0045957, ott892956
"Cypho", VTO_0045959, ott356940
"Labracinus", VTO_0045963, ott26919
"Pseudochromis", VTO_0045966, ott1030720
"Ogilbyina", VTO_0045978, ott521771
