matrix_taxon, vto, ott_id
"Ameiurus melas", VTO_0036272, ott343941
"Ictalurus melas", VTO_0036272, ott343941
"Ameiurus brunneus", VTO_0036273, ott343933
"Ameiurus platycephalus", VTO_0036276, ott1070418
"Ameiurus serracanthus", VTO_0036277, ott1070414
"Plotosus lineatus", VTO_0036304, ott949069
"Phractocephalus hemioliopterus", VTO_0036332, ott186917
"Phractocephalus hemiliopterus", VTO_0036332, ott186917
"Rhamdia guatemalensis", VTO_0036335, ott195322
"Rhamdia quelen", VTO_0036338, ott730419
"Rhamdia hilarii", VTO_0036338, ott730419
"Rhamdia laticauda", VTO_0036343, ott497013
"Rhamdia hypselura", VTO_0036343, ott497013
"Sorubim lima", VTO_0036362, ott758758
"Zungaro zungaro", VTO_0036372, ott676189
"Euchiloglanis kishinoueyi", VTO_0036532, ott93062
"Euchiloglanis kishinouyei", VTO_0036533, ott538060
"Glyptothorax fukiensis", VTO_0036556, ott267009
"Glyptothorax trilineatus", VTO_0036563, ott542349
"Oreoglanis labiatum", VTO_0036594, ott256923
"Exostoma labiatum", VTO_0036594, ott256923
"Oreoglanis delacouri", VTO_0036606, ott537278
"Bagarius yarrelli", VTO_0036610, ott538067
"Gagata cenia", VTO_0036624, ott677782
"Oxydoras niger", VTO_0036652, ott50911
"Pseudodoras niger", VTO_0036652, ott50911
"Anadoras grypus", VTO_0036665, ott102009
"Megalodoras irwini", VTO_0036667, ott623736
"Megalodoras iriwini", VTO_0036667, ott623736
"Leptodoras linnelli", VTO_0036674, ott267805
"Doras Iipophthalmus", VTO_0036679, ott267803
"Platydoras costatus", VTO_0036686, ott623745
"Orinocodoras eigenmanni", VTO_0036688, ott1090782
"Doras carinatus", VTO_0036697, ott571686
"Hemidoras carinatus", VTO_0036697, ott571686
"Agamyxis albomaculatus", VTO_0036705, ott50910
"Doras maculatus", VTO_0036713, ott50908
"Pterodoras granulosus", VTO_0036713, ott50908
"Synodontis clarias", VTO_0036771, ott1090786
"Pterygoplichthys zuliaensis", VTO_0036839, ott567608
"Hypostomus ammophilus", VTO_0036842, ott617541
"Hypostomus squalinus", VTO_0036851, ott698182
